user_input,retrieved_contexts,response,reference,context_precision,answer_relevancy,context_recall,faithfulness,semantic_similarity,context_entity_recall,answer_correctness
A partir de quando a gestante deve procurar o serviço de saúde para suplementação de ferro?,"['88\nMinistério da Saúde | Secretaria de Atenção à Saúde | Departamento de Atenção Básica\n• Procurar o serviço de saúde do seu município, a partir da 20ª semana de gestação e até o \n3º mês pós-parto, para receber a suplementação de ferro preventiva. Ela também deve ser \ninformada de que as farinhas de trigo e milho comercializadas no Brasil são enriquecidas \ncom ferro e ácido fólico, para ajudar na prevenção e no controle da anemia.\n• Manter o ganho de peso gestacional dentro de limites saudáveis. Deve ainda praticar, \nseguindo orientação de um profissional de saúde, alguma atividade física, além de evitar \nas bebidas alcoólicas e o fumo.exclusivo, a partir dos 4 meses) e mais cedo para as crianças de baixo peso ao nascer e pré-termo \n(abaixo de 37 semanas) (BRASIL, 2005) [D]. Os Centers for Disease Control and Prevention (CDC) \ntambém sugerem profilaxia a partir dos 6 meses nas crianças que não recebem ferro suficiente \npor meio da alimentação complementar (CABELLO, 2011) [D].\nA suplementação apresenta algumas dificuldades em relação ao surgimento de efeitos \ncolaterais indesejáveis e à longa duração do tratamento. Em muitos casos, a dificuldade em \naderir ao tratamento devido ao surgimento de efeitos adversos é superior às queixas relatadas eser suplementadas também com o ácido fólico, conforme a conduta es-\ntabelecida pela Área Técnica de Saúde da Mulher do Ministério da Saúde, \npois esta vitamina tem papel importante na gênese da anemia. Todas as \nmulheres até o terceiro mês pós-parto devem ser suplementadas apenas \ncom sulfato ferroso, mesmo que por algum motivo estejam impossibilitadas \nde amamentar. A suplementação também é recomendada nos casos de \nabortos. Nestes dois últimos casos, a suplementação tem o objetivo de \nrepor as reservas corporais maternas.']", A gestante deve procurar o serviço de saúde para suplementação de ferro a partir da 20ª semana de gestação.,"Procurar o serviço de saúde do seu município, a partir da 20ª semana de gestação e até o 3º mês pós-parto, para receber a suplementação de ferro preventiva.",0.9999999999,0.9188119163147386,1.0,1.0,0.9293584296781864,0.49999999875,0.6073396074195466
Quais riscos estão associados ao excesso de peso materno?,"['além de redução da produtividade, do apetite e da capacidade de concentração; \n– Maior risco de mortalidade relacionada à gestação e ao parto, maior risco de \nmorbidade e mortalidade fetal, prematuridade e baixo peso ao nascer.a gravidez com sobrepeso ganhem entre 7kg e 11,5kg; e (iv) as que iniciaram a gravidez com \nobesidade ganhem entre 5kg e 9kg durante todo o período gestacional. A adequação do ganho \nde peso saudável durante a gravidez deve ser feita por um profissional de saúde durante as \nconsultas do pré-natal4.  \nO excesso de peso materno é fator de risco para diabetes gestacional, aumento da pressão \narterial e outros problemas circulatórios. Além disso, está relacionado ao nascimento prematuro, \na defeitos no sistema nervoso da criança e ao aumento de partos cesáreos. \nA alimentação saudável, a atividade física e a prática corporal regular são aliadas fundamentaisprocesso de trabalho, do serviço de saúde e aspectos do planejamento, além de questões relacionadas \nao acompanhamento da gravidez de risco habitual e de suas possíveis intercorrências, promoção da \nsaúde, gestação em situações especiais, assistência ao parto, até as questões legais relacionadas à \ngestação, ao parto/nascimento e ao puerpério.\nBoa leitura.\nATENÇÃO AO PRÉ-NATAL DE BAIXO RISCO']","1. Maior risco de mortalidade relacionada à gestação e ao parto;
2. Maior risco de morbidade e mortalidade fetal;
3. Prematuridade e baixo peso ao nascer;
4. Diabetes gestacional;
5. Aumento da pressão arterial e outros problemas circulatórios;
6. Nascimento prematuro;
7. Defeitos no sistema nervoso da criança;
8. Aumento de partos cesáreos.","O excesso de peso materno é fator de risco para diabetes gestacional, aumento da pressão arterial e outros problemas circulatórios.",0.9999999999,0.8791884209703148,1.0,1.0,0.8779299674915217,0.7499999981250001,
Quais são os parâmetros para considerar a hipertensão arterial na gestação?,"['89\nATENÇÃO AO PRÉ-NATAL DE BAIXO RISCO\nConceitua-se hipertensão arterial na gestação a partir dos seguintes parâmetros:\n• A observação de níveis tensionais absolutos iguais ou maiores do que 140mmHg de pressão \nsistólica e iguais ou maiores do que 90mmHg de pressão diastólica, mantidos em medidas \nrepetidas, em condições ideais, em pelo menos três ocasiões. Este conceito é mais simples e \npreciso. A PA diastólica deve ser identificada pela fase V de Korotkoff.\n• O aumento de 30mmHg ou mais na pressão sistólica (máxima) e/ou de 15mmHg ou mais \nna pressão diastólica (mínima), em relação aos níveis tensionais pré-gestacionais e/ounas formas moderada e grave pode-se optar pelo tratamento usual recomendado para cada \ncondição clínica específica, excluindo-se os inibidores da enzima conversora de angiotensina II \n(Ieca) e antagonistas da angiotensina II, em razão dos efeitos teratogênicos em potência (GUSSO; \nLOPES, 2012). A metildopa é a medicação mais bem estudada para uso na gestação.\nConceitua-se hipertensão arterial na gestação a partir dos seguintes parâmetros (BRASIL,2012):\n•\t A observação de níveis tensionais absolutos iguais ou maiores do que 140mmHg de \npressão sistólica e iguais ou maiores do que 90mmHg de pressão diastólica, mantidos emPanorama da \nHipertensão Arterial \nSistêmica e a \nOrganização da Linha \nde Cuidado\n1']"," Para considerar a hipertensão arterial na gestação, deve-se observar níveis tensionais absolutos iguais ou maiores do que 140mmHg de pressão sistólica e iguais ou maiores do que 90mmHg de pressão diastólica, mantidos em medidas repetidas, em pelo menos três ocasiões. Este conceito é mais simples e preciso. A PA diastólica deve ser identificada pela fase V de Korotkoff.",A observação de níveis tensionais absolutos iguais ou maiores do que 140mmHg de pressão sistólica e iguais ou maiores do que 90mmHg de pressão diastólica...,0.9999999999,0.9021546788571752,1.0,1.0,0.8895309972803793,0.0,
Quais as técnicas recomendadas para a palpação do abdome materno?,"['uterino, são sinais de boa vitalidade fetal.\nTécnica para palpação abdominal (Manobras de Leopold):\nConsiste em um método palpatório do abdome materno em 4 passos (grau de recomendação B):\n- Delimite o fundo do útero com a borda cubital de ambas as mãos e reconheça a parte fetal \nque o ocupa;\n- Deslize as mãos do fundo uterino até o polo inferior do útero, procurando sentir o dorso e \nas pequenas partes do feto;\n- Explore a mobilidade do polo, que se apresenta no estreito superior pélvico;\n- Determine a situação fetal, colocando as mãos sobre as fossas ilíacas, deslizando-as em \ndireção à escava pélvica e abarcando o polo fetal, que se apresenta. As situações que podem• Sonar doppler;\n• Buzina de Kobo (buzina de bicicleta).\n2. Técnica:\n• Coloque a mulher em decúbito dorsal com a cabeceira elevada (posição de Fowler);\n• Palpe o polo cefálico;\n• Ausculte os BCF por quatro períodos de 15 segundos e calcule a média (obs.: a gestante não \ndeve estar com contração uterina);\n• Realize o estímulo sonoro, colocando a buzina sobre o polo cefálico fetal com ligeira \ncompressão sobre o abdome materno (aplique o estímulo entre três e cinco segundos \nininterruptos). Durante a realização do estímulo, deve-se observar o abdome materno, \nprocurando identificar movimentos fetais visíveis;procedimento reduz o risco de erro da medida da altura uterina). A identificação da situação e \nda apresentação fetal é feita por meio da palpação obstétrica, procurando-se identificar os polos \ncefálico e pélvico e o dorso fetal, facilmente identificados a partir do terceiro trimestre. Pode-se, \nainda, estimar a quantidade de líquido amniótico.\nA percepção materna e a constatação objetiva de movimentos fetais, além do crescimento \nuterino, são sinais de boa vitalidade fetal.\nTécnica para palpação abdominal (Manobras de Leopold):\nConsiste em um método palpatório do abdome materno em 4 passos (grau de recomendação B):']"," As técnicas recomendadas para a palpação do abdome materno são as Manobras de Leopold, que consistem em um método palpatório do abdome materno em 4 passos. Essa técnica é classificada como de grau B de recomendação.

   A primeira etapa é delimitar o fundo do útero com a borda cubital de ambas as mãos e reconhecer a parte fetal que o ocupa. Em seguida, deslize as mãos do fundo uterino até o polo inferior do útero, procurando sentir o dorso e as pequenas partes do feto.

   A terceira etapa é explorar a mobilidade do polo, que se apresenta no estreito superior pélvico. Por último, determine a situação fetal, colocando as mãos sobre as fossas ilíacas, deslizando-as em direção à escava pélvica e abarcando o polo fetal, que se apresenta.

   Além disso, é possível estimar a quantidade de líquido amniótico com essa técnica.",Consiste em um método palpatório do abdome materno em 4 passos (grau de recomendação B).,0.9999999999,0.900903206993639,1.0,1.0,0.8556650444075056,0.6666666644444444,
Quais são as recomendações para a ausculta dos batimentos cardiofetais?,"['Atividade Física para Pessoas com \nHipertensão Arterial Sistêmica: \nrecomendações para o trabalho da \nAtenção Básica\n5do que a curva inferior.\nSe o traçado cruzar \na curva inferior ou \nestiver afastando-se \ndela, há provável \nrestrição do \ncrescimento.\nÉ necessário referir a \npaciente ao pré-natal de \nalto risco. \nFonte: (BRASIL, 2005e).\nObservação: deve-se pensar em erro de medida quando ocorrer queda ou elevação abrupta \nem curva que vinha evoluindo normalmente.\n5.9.2 Ausculta dos batimentos cardiofetais \nObjetivo:\nConstatar a cada consulta a presença, o ritmo, a frequência e a normalidade dos batimentos \ncardíacos fetais (BCF). Deve ser realizada com sonar, após 12 semanas de gestação, ou com Pinard, \napós 20 semanas (grau de recomendação C).episiotomia médio-lateral, que apresenta menor risco de extensão para reto e esfíncter \nanal (grau de recomendação A).\n• Ausculta de BCF a cada 5 minutos durante o período expulsivo, imediatamente antes, \ndurante e após a contração uterina (grau de recomendação D).\n• Controle do desprendimento da cabeça: realize a manobra de Ritgen, com o objetivo de \nevitar a deflexão súbita da cabeça (grau de recomendação D).\n• Aspiração da boca e do nariz do feto com pera de borracha. Deve-se verificar se há \ncircular cervical de cordão. Se a circular for apertada, clampeie e corte o cordão (grau de \nrecomendação D).']"," As recomendações para a ausculta dos batimentos cardiofetais são:

1. Constatar a presença, o ritmo, a frequência e a normalidade dos batimentos cardíacos fetais (BCF) em cada consulta, realizada com sonar após 12 semanas de gestação ou com Pinard após 20 semanas (grau de recomendação C).
2. Realizar a ausculta de BCF a cada 5 minutos durante o período expulsivo, imediatamente antes, durante e após a contração uterina (grau de recomendação D).
3. Controlar o desprendimento da cabeça: realizar a manobra de Ritgen com o objetivo de evitar a deflexão súbita da cabeça (grau de recomendação D).
4. Verificar se há circular cervical de cordão. Se a circular for apertada, clampeie e corte o cordão (grau de recomendação D).
5. Aspiração da boca e do nariz do feto com pera de borracha (grau de recomendação não especificado no contexto fornecido).","Constatar a cada consulta a presença, o ritmo, a frequência e a normalidade dos batimentos cardíacos fetais (BCF).",0.9999999999,0.9356299359206447,1.0,,0.8530572934604934,0.0,
Qual é a conduta recomendada para gestantes com hemoglobina < 8g/dl?,"['• Eletroforese de hemoglobina (se a gestante for negra, tiver antecedentes familiares de \nanemia falciforme ou apresentar história de anemia crônica).\n5.4.5 Condutas gerais\n• Deve haver a interpretação dos dados da anamnese, o exame clínico/obstétrico e a instituição \nde condutas específicas;\n• Deve-se orientar a gestante sobre a alimentação e o acompanhamento do ganho de \npeso gestacional;\n• Deve-se incentivar o aleitamento materno exclusivo até os seis meses;\n• Deve-se fornecer todas as informações necessárias e respostas às indagações da mulher, de \nseu companheiro e da família;\n• Deve-se prescrever suplementação de sulfato ferroso (40mg de ferro elementar/dia) e ácidoSaúde Bucal e Diabetes \nMellitus: recomendações \npara o trabalho das \nequipes da Atenção Básica \ne orientações clínicas para \no cirurgião-dentista\n8O incentivo, a orientação e a promoção da alimentação saudável, da atividade física e das \npráticas corporais no âmbito da atenção básica da saúde da gestante devem ser ações constantes \ndo profissional de saúde, a fim de tornar o dia a dia  da gestante mais ativo. \nÉ importante lembrar à gestante que, além de uma alimentação saudável e da prática corporal/\natividade física regular, ela deve evitar o fumo e o consumo de álcool, pois são hábitos prejudiciais \npara a sua saúde e o crescimento do feto e que aumentam o risco de nascimento prematuro. \n5.8 Controle da pressão arterial (PA)\nOs guidelines recomendam a medida da PA em todas as consultas de pré-natal (grau de \nrecomendação C).']"," Para gestantes com hemoglobina menor que 8g/dL, é recomendado um cuidado especial e uma abordagem individualizada. Além da interpretação dos dados da anamnese e do exame clínico/obstétrico, as seguintes condutas específicas devem ser adotadas:

1. A gestante deve ser orientada sobre a importância de uma alimentação saudável e o acompanhamento do ganho de peso gestacional adequado.
2. Deve-se incentivar o aleitamento materno exclusivo até os seis meses, caso a gestante não tenha contraindicações para isso.
3. Deve-se fornecer todas as informações necessárias e respostas às indagações da mulher, de seu companheiro e da família sobre o diagnóstico e tratamento adequado da anemia.
4. Deve-se prescrever suplementação de sulfato ferroso (40mg de ferro elementar/dia) para compensar a deficiência de ferro.
5. É importante lembrar à gestante que ela deve evitar o fumo e o consumo de álcool, pois são hábitos prejudiciais para sua saúde e o crescimento do feto e que aumentam o risco de nascimento prematuro.
6. Deve-se monitorar regularmente a hemoglobina da gestante e realizar exames complementares, como testes de ferro e vitaminas, caso necessário.
7. Em casos graves ou refractários ao tratamento, pode ser necessária transfusão sanguínea ou outros tratamentos especiais.
8. Deve-se orientar a gestante sobre as precauções a serem tomadas durante o trabalho de parto e possíveis complicações relacionadas à anemia, como hemorragia pós-parto ou hipotensão.",Será necessário referir a gestante ao pré-natal de alto risco.,0.0,0.9217748133405254,0.0,,0.8015065244300081,0.0,
Quais são os principais componentes de tabaco fumado?,"['redução da massa muscular causada, entre outros fatores, pela diminuição nos níveis de \ntestosterona. Perdem força a ponto de limitar as capacidades de realizar atividades de vida \ndiárias e de manter a postura corporal.\nAdaptações: \nA força é influenciada, principalmente, por dois componentes, um neural e outro mor-\nfológico. O componente neural depende da ativação neural de um conjunto de fibras mus-\nculares de forma coordenada. O segundo componente depende da secção transversal do \nmúsculo, ou seja, da quantidade de massa muscular que o usuário possui e que está envol-\nvida no movimento.Figura 5 – Os seis componentes do método clínico centrado na pessoa ............................................. 59\nFigura 6 – Substâncias químicas componentes do cigarro .................................................................... 8560 delas são cancerígenas. Esses efeitos estão diretamente relacionados à duração e ao grau \nde exposição à fumaça do cigarro, apesar de pequenas quantidades ainda se relacionarem a \ndiversas doenças, não existindo níveis seguros estabelecidos de consumo (ACHUTTI; ROSITO; \nACHUTTI,2004, WORLD HEALTH ORGANIZATION, 2009a).\nFigura 6 – Substâncias químicas componentes do cigarro\nFonte: ALIANÇA DE CONTROLE DE TABAGISMO, 2011.']"," Os principais componentes do tabaco fumado são as substâncias químicas que compõem a fumaça do cigarro, entre elas podemos citar:

1. Nicotina: é uma alcaloide altamente aditiva e responsável pela dependência física e psicológica do tabaco.
2. Carbono monóxido (CO): é um gás tóxico que pode causar danos ao sistema cardiovascular, diminuindo a capacidade de transporte de oxigênio pelo sangue.
3. Hidrocarbonetos aromáticos policíclicos (HAPs): são substâncias cancerígenas e podem causar diversas doenças respiratórias, como câncer de pulmão.
4. Monóxido de etileno: é um agente tóxico que pode causar danos ao feto durante a gravidez.
5. Amônia: é uma substância corrosiva que pode causar irritação nas membranas mucosas e nos olhos.
6. Cianetos: são compostos químicos tóxicos que podem causar danos ao feto durante a gravidez e também afetarem o sistema nervoso central.
7. Piridina: é uma substância tóxica que pode causar irritação nas membranas mucosas e nos olhos, além de ser cancerígena.
8. Formaldeído: é um agente tóxico que pode causar danos ao feto durante a gravidez e também afetarem o sistema nervoso central.
9. Acetaldeído: é uma substância tóxica que pode causar irritação nas membranas mucosas e nos olhos, além de ser cancerígena.
10. Cianeto de hidrogênio (HCN): é um composto químico tóxico que pode causar danos ao feto durante a gravidez e também afetarem o sistema nervoso central.","Define-se como tabaco fumado o tabaco consumido a partir da sua queima (gerando 'fumaça'). O principal representante deste grupo é o cigarro industrializado, que conta ainda com os cachimbos, charutos, cigarros de palha e narguilé.",0.9999999999,0.9331791072694552,1.0,,0.8634312750482306,0.0,
Como a dependência de tabaco é classificada na CID-10?,"['Transtorno por Uso de Tabaco foi satisfeito para essa classe de medicamento (exceto tolerância \nou abstinência do medicamento de reposição de nicotina).\nEm ambiente protegido: Este especifi cador adicional é usado se o indivíduo encontra-se em \num ambiente no qual o acesso ao tabaco é restrito.\nCódigo baseado na gravidade atual: Nota para códigos da CID-10-MC: Se também houver \nAbstinência de Tabaco ou outro Transtorno do Sono Induzido por Tabaco, não usar códigos a \nseguir para Transtorno por Uso de Tabaco. No caso, o Transtorno por Uso de Tabaco comórbido \né indicado pelo quarto caractere do código de Transtorno Induzido por Tabaco (ver a nota paraexplicados por outro transtorno mental, incluindo Intoxicação por ou Abstinência de \noutra substância.\nNotas para codificação: O código da CID-9-MC é 292.0. O código da CID-10-MC para \nabstinência de tabaco é F17.203. Observar que o código da CID-10-MC indica a presença \ncomórbida de um Transtorno por Uso de Tabaco moderado ou grave, refletindo o fato de \nque a Abstinência de Tabaco pode ocorrer apenas na presença de um Transtorno por Uso do \nTabaco moderado ou grave. Não é permitido codificar por Uso de Tabaco Leve comórbido com \nAbstinência de tabaco.\nFonte: APA, 2014.44\nMinistério da Saúde | Secretaria de Atenção à Saúde | \nDepartamento de Atenção Básica\nA forma de classificação e os critérios utilizados para os Transtornos Mentais e Comportamentais \nRelacionados ao Fumo na CID-10 (F17) seguem a mesma padronização usada para os transtornos \nrelacionados às demais substâncias psicoativas/de dependência (F1x), às quais se incluem álcool, \nopiácios, cannabis e cocaína, por exemplo. Algumas categorias são individualizadas, como “uso \nnocivo” (F17.1), “síndrome de dependência” (F17.2) e “síndrome (ou estado) de abstinência” \n(F17.3), o que pode conceitualmente gerar confusão aos profissionais de saúde (WORLD HEALTH \nORGANIZATION, 1993; 2004).']"," A dependência de tabaco é classificada na CID-10 sob o código F17.2, que corresponde à ""Síndrome de Dependência"". Essa classificação reflete a presença de sintomas de tolerância, abstinência e desistência repetida ao uso do tabaco, além de prejuízos significativos em várias áreas da vida. É importante ressaltar que a Abstinência de Tabaco pode ocorrer apenas na presença de um Transtorno por Uso do Tabaco moderado ou grave. Não é permitido codificar por Uso de Tabaco Leve comórbido com Abstinência de tabaco.","A CID-10 apresenta os transtornos relacionados ao fumo dentro do Capítulo V (F00-F99) – Transtornos Mentais e Comportamentais, sendo classifi cados conforme exposto no Quadro 3.",0.9999999999,0.949557664164951,0.5,1.0,0.8810947169682926,0.0,
O que se entende por longitudinalidade na Atenção Básica?,"['questionemos os conhecimentos que temos, as técnicas que utilizamos, as atitudes e intervenções \nque realizamos em combinação com usuários e colegas. E se aprofundamos tais questionamentos, \nacabamos por refletir acerca do que iremos perguntar quando estivermos frente a frente com \naquele usuário. Este exercício de reflexão deve ser feito tendo no horizonte que nem sempre \nhaverá como definir perguntas ou afirmações corretas.\nJá mencionamos neste capítulo que o trabalho na Atenção Básica é longitudinal, ou seja, \nque o cuidado à saúde das pessoas deve acontecer ao longo do tempo, independentemente \ndo usuário estar com alguma doença. Portanto, trata-se de um acompanhamento processual. Ada equidade e da participação social. A Atenção Básica considera o sujeito em sua singularidade \ne inserção sociocultural, buscando produzir a atenção integral.\nNa construção da atenção integral, a Atenção Básica deve cumprir algumas funções para \ncontribuir com o funcionamento das Redes de Atenção à Saúde, são elas: ser base, atuando no \nmais elevado grau de descentralização e capilaridade, cuja participação no cuidado se faz sempre \nnecessária; ser resolutiva, identificando riscos, necessidades e demandas de Saúde e produzindo \nintervenções clínicas e sanitariamente efetivas, na perspectiva de ampliação dos graus deLongitudinalidade .............................................................................................................................. 16\nCoordenação do Cuidado .................................................................................................................. 16\nApresentação .......................................................................................................................................... 19\n1 Introdução ............................................................................................................................................ 21']"," Na Atenção Básica, a longitudinalidade se refere ao cuidado à saúde das pessoas que deve ocorrer ao longo do tempo, independentemente da presença ou ausência de alguma doença. Isso significa que o trabalho na Atenção Básica é um acompanhamento processual e não se limita apenas a atendimentos específicos em momentos determinados. Essa abordagem permite uma visão mais holística do cuidado à saúde, considerando o sujeito em sua singularidade e inserção sociocultural, buscando produzir a atenção integral.","A Longitudinalidade é definida pela existência de uma fonte continuada de atenção, assim como sua utilização ao longo do tempo.",0.9999999999,0.9004857211854045,,1.0,0.8539441352883951,0.9999999900000002,
Qual é o impacto social e econômico do tabagismo no Brasil?,"['o estabelecimento de hipóteses diagnósticas na população em questão. \nOs estudos epidemiológicos também demonstram haver impactos negativos, advindos de \nproblemas não tratados ou cuidados, na sociabilidade e na escolaridade, que tendem a persistircom os cachimbos, charutos, cigarros de palha e narguilé. A fumaça exalada pelo produto afeta \nnão somente o usuário, defi nido como tabagismo ativo, mas também as pessoas que estão ao \nseu redor e expostas à poluição tabagística ambiental em locais fechados ou cobertos, defi nida \ncomo tabagismo passivo.\n211.2.3 Epidemiologia no Brasil ....................................................................................................... 24\n1.3 Benefícios da interrupção do tabagismo ................................................................................... 29\n2 Controle do tabaco no Brasil ............................................................................................................... 31\n2.1 Prevenção do tabagismo ............................................................................................................. 31\n2.2 Evolução da legislação para controle do tabaco no Brasil ........................................................ 32']"," O tabagismo tem um impacto significativo tanto em termos sociais quanto econômicos no Brasil. Em termos sociais, a fumaça exalada pelo produto afeta não somente o usuário, mas também as pessoas que estão ao seu redor e expostas à poluição tabagística ambiental em locais fechados ou cobertos, o que se refere ao tabagismo passivo. Isso pode causar problemas de saúde e até mesmo a morte prematura. Além disso, os estudos epidemiológicos demonstram haver impactos negativos na sociabilidade e na escolaridade, que tendem a persistir com o uso de cachimbos, charutos, cigarros de palha e narguilé.

Em termos econômicos, o tabagismo também causa prejuízos significativos. Por exemplo, o custo direto da doença relacionada ao tabagismo é estimado em mais de 10 bilhões de reais por ano no Brasil. Além disso, há custos indiretos associados à perda produtiva devido a enfermidades relacionadas ao tabagismo e às mortes prematuras causadas pelo uso do produto.

Por outro lado, é importante ressaltar que a interrupção do tabagismo pode trazer benefícios significativos tanto em termos de saúde quanto econômicos. Por exemplo, a interrupção do tabagismo pode reduzir o risco de doenças cardiovasculares, cânceres e outras enfermidades relacionadas ao uso do produto. Além disso, a interrupção do tabagismo também pode trazer benefícios econômicos, como reduzir os custos de tratamento de doenças relacionadas ao tabagismo e aumentar a produtividade laboral.

Para controlar o tabaco no Brasil, há medidas preventivas e legislativas em vigor. Por exemplo, a legislação brasileira proíbe a venda de produtos de tabaco a menores de 18 anos e proíbe a publicidade do produto em locais públicos. Além disso, há campanhas de educação sobre os riscos associados ao uso do produto e programas de cessação do tabagismo para ajudar as pessoas a interromper o uso do produto.","O tabaco ainda gera um alto custo social e econômico para o País, somando custos diretos de assistência e indiretos por redução da produtividade com absenteísmo, aposentadoria por invalidez e morte prematura.",0.9999999999,0.9502911518495433,0.75,,0.8469882462524086,0.0,
