question,answer,contexts,ground_truth,context_precision,answer_relevancy,context_recall,faithfulness,answer_similarity,context_entity_recall,answer_correctness
O que é a FAU?," Desculpe, mas eu não sei te responder. A sigla FAU não foi mencionada no contexto fornecido.","['CEPE — Conselho de Ensino, Pesquisa e\nExtensão\nDEG — Decanato de Ensino de Graduação\nDEX — Decanato de Extensão\nDPG -— Decanato de Pós-Graduação\nEAD — ensino a distância\nIFE — intituição federal de ensino superior\nIRA- Índice de Rendimento Acadêmico\nMOODLE — software livre de apoio à aprendizagem em ambiente virtual\nPPC — projeto pedagógico do curso\nSAA — Secretaria de Administração Acadêmica\nSEI — Sistema Eletrônico de Informação\nSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificadoSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificado\nTR — trancamento parcial de matrícula ou trancamento automático de disciplina\nUAB — Universidade Aberta do Brasil\nUnB — Universidade de BrasíliaUniversidade de Brasília (UnB) – Decanato de Ensino de Graduação (DEG) \nDiretoria de Acompanhamento e Integração Acadêmica (DAIA) – Coordenação de Estágios (CESG) \n8 \n \n \n2) Ao entrar no portal, selecionar as opções: Estágios → Pré-Cadastro de Estágios, como \nilustrado nas figuras abaixo.']",A Faculdade de Arquitetura e Urbanismo (FAU) é uma unidade acadêmica da Universidade de Brasília (UnB) responsável pelos cursos de graduação e atividades de pesquisa e extensão relacionadas às áreas de Arquitetura e Urbanismo.,,0.0,,0.5,0.8727002495822367,0.0,0.21817506239555917
O que é o IL?," O IL na Universidade de Brasília (UnB) refere-se ao ""Instrumento de Lançamento"", que é um pré-cadastro de estágios disponibilizado no portal da Diretoria de Acompanhamento e Integração Acadêmica (DAIA), sob a Coordenação de Estágios (CESG). Este instrumento é utilizado para iniciar o processo de registro de um estágio acadêmico.","['Prof. Dr. Diêgo Madureira de Oliveira \nDecano de Ensino de Graduação \nProf. Dr. Rafael Oliveira Rocha \nDiretor de Acompanhamento e Integração Acadêmica \nProfa. Dra. Thaís Alves da Costa Lamounier \nCoordenadora de Estágios de GraduaçãoProf. Dr. Diêgo Madureira de Oliveira \nDecano de Ensino de Graduação \nProf. Dr. Rafael Oliveira Rocha \nDiretor de Acompanhamento e Integração Acadêmica \nProfa. Dra. Thaís Alves da Costa Lamounier \nCoordenadora de Estágios de GraduaçãoUniversidade de Brasília (UnB) – Decanato de Ensino de Graduação (DEG) \nDiretoria de Acompanhamento e Integração Acadêmica (DAIA) – Coordenação de Estágios (CESG) \n8 \n \n \n2) Ao entrar no portal, selecionar as opções: Estágios → Pré-Cadastro de Estágios, como \nilustrado nas figuras abaixo.']","O Instituto de Letras (IL) é uma unidade acadêmica dedicada ao ensino, pesquisa e extensão nas áreas de Línguas, Literaturas e Linguística. Oferece cursos de graduação e pós-graduação.",0.9999999999,0.8518555671317029,0.0,1.0,0.8874788266312608,0.0,
O que é o IdA?," Desculpe, mas eu não sei te responder. O termo ""IdA"" não foi mencionado no contexto fornecido. Por favor, verifique se há algum erro na sua pergunta ou se você precisa fornecer mais informações para que possa ajudar você corretamente.","['CEPE — Conselho de Ensino, Pesquisa e\nExtensão\nDEG — Decanato de Ensino de Graduação\nDEX — Decanato de Extensão\nDPG -— Decanato de Pós-Graduação\nEAD — ensino a distância\nIFE — intituição federal de ensino superior\nIRA- Índice de Rendimento Acadêmico\nMOODLE — software livre de apoio à aprendizagem em ambiente virtual\nPPC — projeto pedagógico do curso\nSAA — Secretaria de Administração Acadêmica\nSEI — Sistema Eletrônico de Informação\nSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificadoturma, o(a) estudante deverá estar\ndevidamente matriculado(a). A even-\ntual participação das atividades em\nturmas nas quais você não esteja ma-\ntriculado(a) não dá direito à matrícula\nretroativa ou registro de aprovação no\nhistórico.\nÍndice de Rendimento\nAcadêmico (IRA)\nSe você ainda não ouviu falar do IRA,\ndeve ouvir em breve! O IRA é, como\nsugere o nome, um índice que mede\nseu desempenho global no curso, con-\nsiderando todos os componentes já\ncursados. A fórmula do IRA basicamen-\nte considera suas menções, atribuindo\npesos diferentes aos componentes\nobrigatórios, optativos e eletivos (mó-\ndulo livre), para gerar um valor numé-\nrico que vai de O a 5. O IRA é utiliza-Universidade de Brasília (UnB) – Decanato de Ensino de Graduação (DEG) \nDiretoria de Acompanhamento e Integração Acadêmica (DAIA) – Coordenação de Estágios (CESG) \n8 \n \n \n2) Ao entrar no portal, selecionar as opções: Estágios → Pré-Cadastro de Estágios, como \nilustrado nas figuras abaixo.']","O Instituto de Artes (IdA) é uma unidade acadêmica da UnB que atua no ensino e pesquisa relacionados às artes visuais, cênicas, música e outras expressões artísticas.",,0.0,,0.3333333333333333,0.8907920204794895,0.0,
O que são unidades acadêmicas?," Unidades acadêmicas são as entidades que compõem a Universidade de Brasília (UnB). Elas incluem faculdades, institutos e outras áreas específicas de ensino, pesquisa e extensão. Cada unidade acadêmica possui seus próprios conselhos, responsáveis pela elaboração de normas no âmbito dessa unidade.","['CEPE — Conselho de Ensino, Pesquisa e\nExtensão\nDEG — Decanato de Ensino de Graduação\nDEX — Decanato de Extensão\nDPG -— Decanato de Pós-Graduação\nEAD — ensino a distância\nIFE — intituição federal de ensino superior\nIRA- Índice de Rendimento Acadêmico\nMOODLE — software livre de apoio à aprendizagem em ambiente virtual\nPPC — projeto pedagógico do curso\nSAA — Secretaria de Administração Acadêmica\nSEI — Sistema Eletrônico de Informação\nSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificadoSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificado\nTR — trancamento parcial de matrícula ou trancamento automático de disciplina\nUAB — Universidade Aberta do Brasil\nUnB — Universidade de Brasíliaé muito importante que você os conheça muito bem. As\nnormas são formuladas por órgãos colegiados, como\no colegiado do curso, no âmbito do próprio curso, e os\nconselhos, no âmbito de cada unidade acadêmica (fa-\nculdade, instituto etc.). No âmbito de toda a Universi-\ndade, os colegiados responsáveis pela elaboração das\nnormas são a Câmara de Ensino de Graduação (CEG)\ne o Conselho de Ensino, Pesquisa e Extensão (CEPE).\nÉ muito importante estar atento(a) às atualizações das\nnormas (pois elas ocorrem com alguma frequência) e\nparticipar das discussões no âmbito desses órgãos (em\ntodos há representação estudantil).\nRevisão de menção\nCaso discorde da menção que recebeu, você deverá']","As unidades acadêmicas são institutos e faculdades que coordenam e avaliam atividades de ensino, pesquisa e extensão nas respectivas áreas de conhecimento. Elas têm autonomia para planejar e administrar recursos humanos e materiais.",,0.8568457645081876,,,0.9252792846895321,0.0,0.5040470938996557
O que é um coordenador de curso?," O coordenador (ou coordenadora) de curso é o professor responsável por gerenciar as demandas de graduação do curso, incluindo assuntos relacionados à matrícula e orientações específicas. Ele (ela) é quem tem a responsabilidade de garantir que os alunos cumpram as exigências acadêmicas para se formarem no curso. A terceira reprovação implicará no desligamento do curso, por isso, o coordenador estabelecerá condições a serem cumpridas para que o aluno saia do risco de ser expulso.","['do curso no tempo previsto, mas também porque essa\nadesão ao fluxo é um dos critérios de prioridade para\nconseguir vagas em turmas durante o processo de ma-\ntrícula, como será abordado adiante.\nCoordenação de curso\nO(A) coordenador(a) do curso é o(a) professor(a) respon-\nsável por gerenciar as demandas de graduação, como\nassuntos de matrícula e orientações específicas sobregatória, pois a terceira reprovação implicará no desliga-\nmento. Nesse caso, você tem uma “condição” a cumprir\npara sair do risco, que é cursar a disciplina com aprova-\nção. O mesmo ocorre se você chegar perto do limite de\npermanência no curso e ainda tiver muitos componentes\ncurriculares a cumprir, situação em que você estará em\nrisco e precisará cumprir a condição de concluir o curso\nem determinado semestre. Porém, a depender da situa-\nção, é possível ter uma dessas condições convertida em\noutra. Por exemplo, pode ser exigido que você obtenha\naprovação em disciplinas que somem o mínimo de cré-\nditos por semestre definido para o curso, em cada ummáxima que se pode cursar em cada semestre e quais\ncomponentes são obrigatórios ou eletivos, por exemplo.\nEsse, aliás, é um ponto importante! Os componentes\npodem ser, basicamente, de três tipos:\nobrigatório — quando você precisa cursar o com-\nponente para se formar;\noptativo — quando você pode escolher um com-\nponente de uma lista (prevista na estrutura\ncurricular); e\neletivo (módulo livre) — quando o componente faz\nparte do currículo de outro curso que não o seu,\nmas ainda assim você pode cursar e aproveitar no\nseu histórico (com alguns limites, como ficará claro\nmais à frente).\nFluxo do curso\nO fluxo de um curso consiste da lista de componentes']","O coordenador de curso é o responsável por orientar e apoiar os estudantes durante a graduação, além de gerenciar as demandas acadêmicas, como currículo e componentes curriculares.",,0.8334488958396031,,,0.9012822326268597,0.0,
O que é a SAA?," A SAA (Secretaria de Administração Acadêmica) é uma secretaria da Universidade de Brasília (UnB), responsável pela administração acadêmica do estabelecimento. É onde você pode entrar em contato para consultas e solicitações relacionadas à sua matrícula, avaliação, registro acadêmico e outros assuntos de natureza administrativa.","['E-mail NÃO chegou após o prazo indicado? \nEntrar em contato com a Secretaria de \nAdministração Acadêmica da UnB (SAA). \nsaaatendimento@unb.br  \nVerificar se seu nome consta no edital da \nrelação provisória. Tudo certinho: basta \nguardar o edital com a homologação \ndefinitiva do Registro Acadêmico. \nSeu nome NÃO está na lista do edital da relação \nprovisória? Consultar pendência(s) e enviar os \nitens solicitados, por meio de link específico para \no upload da documentação faltante, na página \nda seleção, conforme prazo estipulado na \nAgenda do Calouro.e qual a melhor estratégia para conseguir a sua vaga.\nDepois da matrícula\nÉ importante checar, ao final do processo (e também\ndurante o semestre) se houve alguma alteração indevi-\nda na sua grade de componentes (você faz isso no por-\ntal do(a) estudante do SIGAA). Isso evita que você seja\nreprovado(a) por faltas em turmas nas quais venha a\nser indevidamente matriculado(a), ou frequente turmas\ndas quais não faz parte formalmente.\nAvaliação\nA avaliação da aprendizagem é um processo funda-\nmental para garantir a qualidade da sua formação aca-\ndêmica e profissional. As atividades avaliativas podem\nvariar conforme o componente curricular e a metodo-Wwuw.saa.unb.br\ne-mail: saaatendimentoDunb.br\nSecretaria de Assuntos\nInternacionais (INT)\nWww.int.unb.br\nInsta ODintunboficial\nCada curso de graduação tem suas característi-\ncas próprias, por isso é importante tentar conhecer\nao máximo o seu! Você pode fazer isso buscando\ninformações no site do curso, mas também con-\nversando com colegas de outros semestres, com\nos(as) professores(as) e com o(a) coordenador(a),\nalém de procurar o centro acadêmico (CA), que\ncompõe a representação estudantil formal do seu\ncurso. Fique atento(a) aos próximos itens, pois\nabordaremos alguns pontos muito importantes\npara você acompanhar o curso e entender melhor\nas informações disponíveis nos meios oficiais.']","A Secretaria de Administração Acadêmica (SAA) é o setor responsável pelo registro acadêmico, emissão de documentos como diplomas, históricos escolares e organização do calendário acadêmico.",,0.8565481436920314,,,0.9236703723504649,0.0,
Quais são as categorias de matérias?," As categorias de matérias na Universidade de Brasília podem ser classificadas de acordo com o tipo de créditos que elas possuem. Existem três categorias principais:

1. Matérias obrigatórias (obrigatórias): Essas são as disciplinas que todos os alunos do curso devem cursar e aprovar para concluir o curso.
2. Matérias opcionais (opcionais): Essas são as disciplinas que podem ser escolhidas pelo aluno, com a possibilidade de obter créditos adicionais no curso.
3. Matérias especiais (especiais): Essas são as disciplinas que não se encaixam nas categorias acima e podem ser cursadas por alunos que atendem a determinados requisitos específicos, como matérias de pesquisa ou de estágio.

Além disso, existem outras categorias específicas, como matérias de ensino à distância (EAD), trabalho de conclusão de curso (TCC) e termo de compromisso de estágio (TCE), entre outras.","['gatória, pois a terceira reprovação implicará no desliga-\nmento. Nesse caso, você tem uma “condição” a cumprir\npara sair do risco, que é cursar a disciplina com aprova-\nção. O mesmo ocorre se você chegar perto do limite de\npermanência no curso e ainda tiver muitos componentes\ncurriculares a cumprir, situação em que você estará em\nrisco e precisará cumprir a condição de concluir o curso\nem determinado semestre. Porém, a depender da situa-\nção, é possível ter uma dessas condições convertida em\noutra. Por exemplo, pode ser exigido que você obtenha\naprovação em disciplinas que somem o mínimo de cré-\nditos por semestre definido para o curso, em cada umé muito importante que você os conheça muito bem. As\nnormas são formuladas por órgãos colegiados, como\no colegiado do curso, no âmbito do próprio curso, e os\nconselhos, no âmbito de cada unidade acadêmica (fa-\nculdade, instituto etc.). No âmbito de toda a Universi-\ndade, os colegiados responsáveis pela elaboração das\nnormas são a Câmara de Ensino de Graduação (CEG)\ne o Conselho de Ensino, Pesquisa e Extensão (CEPE).\nÉ muito importante estar atento(a) às atualizações das\nnormas (pois elas ocorrem com alguma frequência) e\nparticipar das discussões no âmbito desses órgãos (em\ntodos há representação estudantil).\nRevisão de menção\nCaso discorde da menção que recebeu, você deveráCEPE — Conselho de Ensino, Pesquisa e\nExtensão\nDEG — Decanato de Ensino de Graduação\nDEX — Decanato de Extensão\nDPG -— Decanato de Pós-Graduação\nEAD — ensino a distância\nIFE — intituição federal de ensino superior\nIRA- Índice de Rendimento Acadêmico\nMOODLE — software livre de apoio à aprendizagem em ambiente virtual\nPPC — projeto pedagógico do curso\nSAA — Secretaria de Administração Acadêmica\nSEI — Sistema Eletrônico de Informação\nSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificado']","As matérias são divididas em disciplinas obrigatórias, optativas e de módulo livre.",,,,,0.827330775014296,,
O que são disciplinas obrigatórias?," Disciplinas obrigatórias são as matérias que são exigidas para a conclusão de um determinado curso no Universidade de Brasília. Essas disciplinas podem ser escolhidas de uma cadeia pré-determinada, conhecida como ""cadeia de seletividade"". As disciplinas obrigatórias seletivas compõem essa cadeia e possuem uma condição de cumprimento que é o número de horas a serem cursadas dentre os componentes que compõem a cadeia.","['uma característica do próprio componente, não sendo\npossível “quebrar” o pré-requisito para um(a) estudante\nem particular, o que pode haver é a revisão do(s) pré-\n-requisito(s) pelo colegiado do curso, o que passará a\nvaler para todos(as) os(as) estudantes.\nCadeia de seletividade\nEm alguns cursos, as disciplinas obrigatórias podem ser\nescolhidas de um grupo pré-determinado: a cadeia de\nseletividade. As disciplinas que compõem uma cadeia\nde seletividade são denominadas disciplinas obrigató-\nrias seletivas. À cadeia soma-se uma condição de cum-\nprimento que é o número de horas a serem cursadas\ndentre os componentes que compõem a cadeia. Caso\nseu curso tenha uma cadeia de seletividade, você po-Manual de Orientações no Módulo de Estágio \ndo Sistema Integrado de Gerenciamento de \nAtividades Acadêmicas (SIGAA)  \n \n Estágio Curricular Obrigatório \n– Discentes – \n \n \n \n \n \n \n \n \nBrasília, 19 de agosto de 2022gatória, pois a terceira reprovação implicará no desliga-\nmento. Nesse caso, você tem uma “condição” a cumprir\npara sair do risco, que é cursar a disciplina com aprova-\nção. O mesmo ocorre se você chegar perto do limite de\npermanência no curso e ainda tiver muitos componentes\ncurriculares a cumprir, situação em que você estará em\nrisco e precisará cumprir a condição de concluir o curso\nem determinado semestre. Porém, a depender da situa-\nção, é possível ter uma dessas condições convertida em\noutra. Por exemplo, pode ser exigido que você obtenha\naprovação em disciplinas que somem o mínimo de cré-\nditos por semestre definido para o curso, em cada um']","As disciplinas obrigatórias são componentes essenciais ao currículo do curso, que todos os estudantes devem cursar e ser aprovados.",,0.8839720704346269,,,0.8603643505941974,0.0,0.21509108764854934
O que são disciplinas optativas?," Disciplinas optativas são aquelas que não são obrigatórias para a conclusão do curso, mas podem ser escolhidas pelo estudante para complementar seu conhecimento. Essas disciplinas não fazem parte da cadeia de seletividade e não contribuem para o cumprimento de uma condição em horas relacionadas ao currículo do curso, mas sim para a enriquecer o perfil acadêmico do estudante. As disciplinas optativas podem ser escolhidas livremente pelo estudante e não estão listadas na estrutura curricular (currículo do curso).","['uma característica do próprio componente, não sendo\npossível “quebrar” o pré-requisito para um(a) estudante\nem particular, o que pode haver é a revisão do(s) pré-\n-requisito(s) pelo colegiado do curso, o que passará a\nvaler para todos(as) os(as) estudantes.\nCadeia de seletividade\nEm alguns cursos, as disciplinas obrigatórias podem ser\nescolhidas de um grupo pré-determinado: a cadeia de\nseletividade. As disciplinas que compõem uma cadeia\nde seletividade são denominadas disciplinas obrigató-\nrias seletivas. À cadeia soma-se uma condição de cum-\nprimento que é o número de horas a serem cursadas\ndentre os componentes que compõem a cadeia. Caso\nseu curso tenha uma cadeia de seletividade, você po-primento que é o número de horas a serem cursadas\ndentre os componentes que compõem a cadeia. Caso\nseu curso tenha uma cadeia de seletividade, você po-\nderá selecionar livremente entre os componentes dessa\ncadeia qual componente você cursará. Funciona de for-\nma semelhante aos componentes optativos, mas aqui\na lista de possibilidades é bem mais restrita e abrange\ncomponentes tematicamente relacionados. Além disso,\na integralização se dá como carga horária optativa no\nhistórico.\nIMPORTANTE: Apesar de os componentes que compõem\numa cadeia de seletividade serem integralizados como opta-\ntivos, o não cumprimento da condição em horas relacionadastegram o currículo do seu curso, mas\ncomo parte de um grupo de componen-\ntes que são ofertados (pelo departa-\nmento/unidade do seu curso ou mesmo\npor outros cursos) e que podem ser es-\ncolhidos para compor o total de horas\nnecessárias para a integralização do\ncurrículo. Ou seja, o que é obrigatório\naqui é o cumprimento da carga horária.\nComponentes eletivos\n(módulo livre)\nA principal diferença entre um componente optativo e\num eletivo (módulo livre) é, basicamente, que esse últi-\nmo não está listado na estrutura curricular (currículo do\ncurso). Ou seja, os componentes eletivos de um curso\nsão todos os componentes de graduação ofertados por\noutros cursos da UnB e que não constam no currículo']",As disciplinas optativas são matérias sugeridas dentro do currículo do curso. O estudante pode escolher entre elas para complementar a carga horária obrigatória.,,0.0,,,0.9451968301774658,0.0,
O que são disciplinas de módulo livre?," Disciplinas de módulo livre, também conhecidas como componentes eletivos, são aquelas ofertadas por outros cursos da Universidade de Brasília (UnB) que não estão listadas na estrutura curricular do seu curso. Essas disciplinas podem ser escolhidas pelo aluno para compor o total de horas necessárias para a integralização do currículo, desde que sejam ofertadas por departamentos/unidades do seu curso ou mesmo por outros cursos da UnB.","['CEPE — Conselho de Ensino, Pesquisa e\nExtensão\nDEG — Decanato de Ensino de Graduação\nDEX — Decanato de Extensão\nDPG -— Decanato de Pós-Graduação\nEAD — ensino a distância\nIFE — intituição federal de ensino superior\nIRA- Índice de Rendimento Acadêmico\nMOODLE — software livre de apoio à aprendizagem em ambiente virtual\nPPC — projeto pedagógico do curso\nSAA — Secretaria de Administração Acadêmica\nSEI — Sistema Eletrônico de Informação\nSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificadogatória, pois a terceira reprovação implicará no desliga-\nmento. Nesse caso, você tem uma “condição” a cumprir\npara sair do risco, que é cursar a disciplina com aprova-\nção. O mesmo ocorre se você chegar perto do limite de\npermanência no curso e ainda tiver muitos componentes\ncurriculares a cumprir, situação em que você estará em\nrisco e precisará cumprir a condição de concluir o curso\nem determinado semestre. Porém, a depender da situa-\nção, é possível ter uma dessas condições convertida em\noutra. Por exemplo, pode ser exigido que você obtenha\naprovação em disciplinas que somem o mínimo de cré-\nditos por semestre definido para o curso, em cada umtegram o currículo do seu curso, mas\ncomo parte de um grupo de componen-\ntes que são ofertados (pelo departa-\nmento/unidade do seu curso ou mesmo\npor outros cursos) e que podem ser es-\ncolhidos para compor o total de horas\nnecessárias para a integralização do\ncurrículo. Ou seja, o que é obrigatório\naqui é o cumprimento da carga horária.\nComponentes eletivos\n(módulo livre)\nA principal diferença entre um componente optativo e\num eletivo (módulo livre) é, basicamente, que esse últi-\nmo não está listado na estrutura curricular (currículo do\ncurso). Ou seja, os componentes eletivos de um curso\nsão todos os componentes de graduação ofertados por\noutros cursos da UnB e que não constam no currículo']","As disciplinas de módulo livre são matérias de outros cursos que o estudante pode cursar, mesmo que não estejam listadas no currículo obrigatório ou optativo, desde que respeitem o limite máximo de créditos permitidos.",,,,,0.8895830570969445,,
