question,answer,contexts,ground_truth,context_precision,answer_relevancy,context_recall,faithfulness,answer_similarity,context_entity_recall,answer_correctness
,,[''],,0.0,0.8183826523013389,0.0,1.0,1.0,0.0,
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8184837717999214,0.0,0.5,1.0,0.0,
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8182815328027567,0.0,0.5,1.0,0.0,1.0
,,[''],,0.0,0.818281532802757,0.0,0.75,1.0,0.0,1.0
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8170558655390346,0.0,1.0,1.0,0.0,0.75
,,[''],,0.0,0.8181804133041747,0.0,0.5,1.0,0.0,0.7
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.0,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8172581045361994,0.0,1.0,1.0,0.0,
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,
,,[''],,0.0,0.8171569850376171,0.0,0.5,1.0,0.0,1.0
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8183826523013392,0.0,0.75,1.0,,
,,[''],,0.0,0.8183826523013389,0.0,0.5,1.0,0.0,1.0
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,
,,[''],,0.0,0.818281532802757,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8171569850376171,0.0,1.0,1.0,0.0,
,,[''],,0.0,0.8183826523013389,0.0,0.5,1.0,0.0,
,,[''],,0.0,0.8183826523013389,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8170558655390346,0.0,1.0,1.0,0.0,
,,[''],,0.0,0.8182815328027567,0.0,1.0,1.0,0.0,
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,
,,[''],,0.0,0.0,0.0,1.0,1.0,0.0,0.5833333333333333
,,[''],,0.0,0.8184837717999214,0.0,0.5,1.0,0.0,0.75
,,[''],,0.0,0.8182815328027567,0.0,1.0,1.0,0.0,0.8928571428571428
,,[''],,0.0,0.818281532802757,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8184837717999214,0.0,0.5,1.0,0.0,1.0
,,[''],,0.0,0.8182815328027567,0.0,1.0,1.0,0.0,
,,[''],,0.0,0.8182815328027567,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8184837717999214,0.0,0.75,1.0,0.0,
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8171569850376169,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8183826523013389,0.0,0.5,1.0,0.0,1.0
,,[''],,0.0,0.8183826523013389,0.0,1.0,1.0,0.0,0.75
,,[''],,0.0,0.8184837717999214,0.0,0.5,1.0,0.0,1.0
,,[''],,0.0,0.8171569850376169,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,0.75
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,0.9166666666666666
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8214119090360216,0.0,0.5,1.0,0.0,1.0
,,[''],,0.0,0.8183826523013389,0.0,1.0,1.0,0.0,
,,[''],,0.0,0.8183826523013389,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8172581045361994,0.0,0.5,1.0,0.0,0.5833333333333333
,,[''],,0.0,0.8172581045361994,0.0,0.5,1.0,0.0,1.0
,,[''],,0.0,0.8172581045361994,0.0,0.5,1.0,,
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.0,0.0,1.0,1.0,,
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,0.5833333333333333
,,[''],,0.0,0.8172581045361994,0.0,0.5,1.0,0.0,1.0
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,0.5833333333333333
,,[''],,0.0,0.8171569850376169,0.0,0.5,1.0,0.0,0.625
,,[''],,0.0,0.8172581045361991,0.0,1.0,1.0,,
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8182815328027567,0.0,1.0,1.0,0.0,
,,[''],,0.0,0.8183826523013392,0.0,0.5,1.0,0.0,0.625
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.0,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8183826523013389,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8183826523013392,0.0,0.5,1.0,0.0,0.5833333333333333
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8183826523013392,0.0,0.5,1.0,0.0,0.625
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8183826523013392,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8183826523013389,0.0,1.0,1.0,0.0,0.75
,,[''],,0.0,0.8172581045361994,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.818281532802757,0.0,1.0,1.0,0.0,
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,0.5833333333333333
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8183826523013389,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8172581045361991,0.0,0.5,1.0,0.0,1.0
,,[''],,0.0,0.8184837717999214,0.0,0.5,1.0,0.0,1.0
,,[''],,0.0,0.0,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.0,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,0.75
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8183826523013389,0.0,1.0,1.0,0.0,0.5833333333333333
,,[''],,0.0,0.818281532802757,0.0,1.0,1.0,0.0,0.5833333333333333
,,[''],,0.0,0.8181804133041747,0.0,0.5,1.0,0.0,1.0
,,[''],,0.0,0.8183826523013389,0.0,1.0,1.0,0.0,0.55
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,0.8928571428571428
,,[''],,0.0,0.8165958923777855,0.0,1.0,1.0,0.0,
,,[''],,0.0,0.8160324372724773,0.0,0.5,1.0,0.0,1.0
,,[''],,0.0,0.8172581045361994,0.0,0.75,1.0,0.0,
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,0.625
,,[''],,0.0,0.8184837717999214,0.0,1.0,1.0,0.0,1.0
,,[''],,0.0,0.8181804133041747,0.0,1.0,1.0,0.0,0.5833333333333333
