user_input,retrieved_contexts,response,reference,context_precision,answer_relevancy,context_recall,faithfulness,semantic_similarity,context_entity_recall,answer_correctness
A partir de quando a gestante deve procurar o serviço de saúde para suplementação de ferro?,"['88\nMinistério da Saúde | Secretaria de Atenção à Saúde | Departamento de Atenção Básica\n• Procurar o serviço de saúde do seu município, a partir da 20ª semana de gestação e até o \n3º mês pós-parto, para receber a suplementação de ferro preventiva. Ela também deve ser \ninformada de que as farinhas de trigo e milho comercializadas no Brasil são enriquecidas \ncom ferro e ácido fólico, para ajudar na prevenção e no controle da anemia.\n• Manter o ganho de peso gestacional dentro de limites saudáveis. Deve ainda praticar, \nseguindo orientação de um profissional de saúde, alguma atividade física, além de evitar \nas bebidas alcoólicas e o fumo.exclusivo, a partir dos 4 meses) e mais cedo para as crianças de baixo peso ao nascer e pré-termo \n(abaixo de 37 semanas) (BRASIL, 2005) [D]. Os Centers for Disease Control and Prevention (CDC) \ntambém sugerem profilaxia a partir dos 6 meses nas crianças que não recebem ferro suficiente \npor meio da alimentação complementar (CABELLO, 2011) [D].\nA suplementação apresenta algumas dificuldades em relação ao surgimento de efeitos \ncolaterais indesejáveis e à longa duração do tratamento. Em muitos casos, a dificuldade em \naderir ao tratamento devido ao surgimento de efeitos adversos é superior às queixas relatadas eser suplementadas também com o ácido fólico, conforme a conduta es-\ntabelecida pela Área Técnica de Saúde da Mulher do Ministério da Saúde, \npois esta vitamina tem papel importante na gênese da anemia. Todas as \nmulheres até o terceiro mês pós-parto devem ser suplementadas apenas \ncom sulfato ferroso, mesmo que por algum motivo estejam impossibilitadas \nde amamentar. A suplementação também é recomendada nos casos de \nabortos. Nestes dois últimos casos, a suplementação tem o objetivo de \nrepor as reservas corporais maternas.']","A gestante deve procurar o serviço de saúde do seu município a partir da 20ª semana de gestação para receber a suplementação de ferro preventiva.  
","Procurar o serviço de saúde do seu município, a partir da 20ª semana de gestação e até o 3º mês pós-parto, para receber a suplementação de ferro preventiva.",0.9999999999,,1.0,1.0,0.951744184315749,0.3333333322222222,0.7379360460789373
Quais riscos estão associados ao excesso de peso materno?,"['além de redução da produtividade, do apetite e da capacidade de concentração; \n– Maior risco de mortalidade relacionada à gestação e ao parto, maior risco de \nmorbidade e mortalidade fetal, prematuridade e baixo peso ao nascer.a gravidez com sobrepeso ganhem entre 7kg e 11,5kg; e (iv) as que iniciaram a gravidez com \nobesidade ganhem entre 5kg e 9kg durante todo o período gestacional. A adequação do ganho \nde peso saudável durante a gravidez deve ser feita por um profissional de saúde durante as \nconsultas do pré-natal4.  \nO excesso de peso materno é fator de risco para diabetes gestacional, aumento da pressão \narterial e outros problemas circulatórios. Além disso, está relacionado ao nascimento prematuro, \na defeitos no sistema nervoso da criança e ao aumento de partos cesáreos. \nA alimentação saudável, a atividade física e a prática corporal regular são aliadas fundamentaisprocesso de trabalho, do serviço de saúde e aspectos do planejamento, além de questões relacionadas \nao acompanhamento da gravidez de risco habitual e de suas possíveis intercorrências, promoção da \nsaúde, gestação em situações especiais, assistência ao parto, até as questões legais relacionadas à \ngestação, ao parto/nascimento e ao puerpério.\nBoa leitura.\nATENÇÃO AO PRÉ-NATAL DE BAIXO RISCO']","O excesso de peso materno está associado a diversos riscos, tanto para a mãe quanto para o bebê. 

Para a mãe, aumenta o risco de diabetes gestacional, pressão arterial elevada e outros problemas circulatórios.  

Para o bebê, o excesso de peso materno pode levar ao nascimento prematuro, defeitos no sistema nervoso e um maior risco de parto cesáreo. Além disso, a criança pode nascer com baixo peso. 
","O excesso de peso materno é fator de risco para diabetes gestacional, aumento da pressão arterial e outros problemas circulatórios.",0.9999999999,0.9267718529097778,1.0,0.875,0.8745434378666033,0.49999999875,
Quais são os parâmetros para considerar a hipertensão arterial na gestação?,"['89\nATENÇÃO AO PRÉ-NATAL DE BAIXO RISCO\nConceitua-se hipertensão arterial na gestação a partir dos seguintes parâmetros:\n• A observação de níveis tensionais absolutos iguais ou maiores do que 140mmHg de pressão \nsistólica e iguais ou maiores do que 90mmHg de pressão diastólica, mantidos em medidas \nrepetidas, em condições ideais, em pelo menos três ocasiões. Este conceito é mais simples e \npreciso. A PA diastólica deve ser identificada pela fase V de Korotkoff.\n• O aumento de 30mmHg ou mais na pressão sistólica (máxima) e/ou de 15mmHg ou mais \nna pressão diastólica (mínima), em relação aos níveis tensionais pré-gestacionais e/ounas formas moderada e grave pode-se optar pelo tratamento usual recomendado para cada \ncondição clínica específica, excluindo-se os inibidores da enzima conversora de angiotensina II \n(Ieca) e antagonistas da angiotensina II, em razão dos efeitos teratogênicos em potência (GUSSO; \nLOPES, 2012). A metildopa é a medicação mais bem estudada para uso na gestação.\nConceitua-se hipertensão arterial na gestação a partir dos seguintes parâmetros (BRASIL,2012):\n•\t A observação de níveis tensionais absolutos iguais ou maiores do que 140mmHg de \npressão sistólica e iguais ou maiores do que 90mmHg de pressão diastólica, mantidos emPanorama da \nHipertensão Arterial \nSistêmica e a \nOrganização da Linha \nde Cuidado\n1']","A hipertensão arterial na gestação é considerada quando se observa:

* **Níveis tensionais absolutos:** pressão sistólica igual ou maior que 140 mmHg e pressão diastólica igual ou maior que 90 mmHg, mantidos em medidas repetidas, em condições ideais, em pelo menos três ocasiões. A pressão diastólica deve ser identificada pela fase V de Korotkoff.
* **Aumento na pressão arterial:** aumento de 30 mmHg ou mais na pressão sistólica e/ou de 15 mmHg ou mais na pressão diastólica, em relação aos níveis tensionais pré-gestacionais.  


É importante ressaltar que o diagnóstico deve ser feito por um profissional de saúde. 
",A observação de níveis tensionais absolutos iguais ou maiores do que 140mmHg de pressão sistólica e iguais ou maiores do que 90mmHg de pressão diastólica...,0.9999999999,0.9084736063984108,1.0,0.8,0.8915986312321935,0.999999995,
Quais as técnicas recomendadas para a palpação do abdome materno?,"['uterino, são sinais de boa vitalidade fetal.\nTécnica para palpação abdominal (Manobras de Leopold):\nConsiste em um método palpatório do abdome materno em 4 passos (grau de recomendação B):\n- Delimite o fundo do útero com a borda cubital de ambas as mãos e reconheça a parte fetal \nque o ocupa;\n- Deslize as mãos do fundo uterino até o polo inferior do útero, procurando sentir o dorso e \nas pequenas partes do feto;\n- Explore a mobilidade do polo, que se apresenta no estreito superior pélvico;\n- Determine a situação fetal, colocando as mãos sobre as fossas ilíacas, deslizando-as em \ndireção à escava pélvica e abarcando o polo fetal, que se apresenta. As situações que podem• Sonar doppler;\n• Buzina de Kobo (buzina de bicicleta).\n2. Técnica:\n• Coloque a mulher em decúbito dorsal com a cabeceira elevada (posição de Fowler);\n• Palpe o polo cefálico;\n• Ausculte os BCF por quatro períodos de 15 segundos e calcule a média (obs.: a gestante não \ndeve estar com contração uterina);\n• Realize o estímulo sonoro, colocando a buzina sobre o polo cefálico fetal com ligeira \ncompressão sobre o abdome materno (aplique o estímulo entre três e cinco segundos \nininterruptos). Durante a realização do estímulo, deve-se observar o abdome materno, \nprocurando identificar movimentos fetais visíveis;procedimento reduz o risco de erro da medida da altura uterina). A identificação da situação e \nda apresentação fetal é feita por meio da palpação obstétrica, procurando-se identificar os polos \ncefálico e pélvico e o dorso fetal, facilmente identificados a partir do terceiro trimestre. Pode-se, \nainda, estimar a quantidade de líquido amniótico.\nA percepção materna e a constatação objetiva de movimentos fetais, além do crescimento \nuterino, são sinais de boa vitalidade fetal.\nTécnica para palpação abdominal (Manobras de Leopold):\nConsiste em um método palpatório do abdome materno em 4 passos (grau de recomendação B):']","Existem duas técnicas recomendadas para a palpação abdominal durante a gravidez:

1. **Manobras de Leopold:** Consiste em um método palpatório do abdome materno em 4 passos, com o objetivo de determinar a posição e apresentação fetal, além de estimar a quantidade de líquido amniótico.  
2. **Ausculta dos Batimentos Cardíacos Fatais (BCF) com estímulo sonoro:** Essa técnica envolve a auscultação dos BCF por quatro períodos de 15 segundos e a aplicação de um estímulo sonoro (buzina de Kobo ou sonar doppler) sobre o polo cefálico fetal. A observação de movimentos fetais visíveis durante o estímulo complementa a avaliação.  


",Consiste em um método palpatório do abdome materno em 4 passos (grau de recomendação B).,0.9999999999,0.9235821944282501,1.0,,0.8522737440087673,0.249999999375,
Quais são as recomendações para a ausculta dos batimentos cardiofetais?,"['Atividade Física para Pessoas com \nHipertensão Arterial Sistêmica: \nrecomendações para o trabalho da \nAtenção Básica\n5do que a curva inferior.\nSe o traçado cruzar \na curva inferior ou \nestiver afastando-se \ndela, há provável \nrestrição do \ncrescimento.\nÉ necessário referir a \npaciente ao pré-natal de \nalto risco. \nFonte: (BRASIL, 2005e).\nObservação: deve-se pensar em erro de medida quando ocorrer queda ou elevação abrupta \nem curva que vinha evoluindo normalmente.\n5.9.2 Ausculta dos batimentos cardiofetais \nObjetivo:\nConstatar a cada consulta a presença, o ritmo, a frequência e a normalidade dos batimentos \ncardíacos fetais (BCF). Deve ser realizada com sonar, após 12 semanas de gestação, ou com Pinard, \napós 20 semanas (grau de recomendação C).episiotomia médio-lateral, que apresenta menor risco de extensão para reto e esfíncter \nanal (grau de recomendação A).\n• Ausculta de BCF a cada 5 minutos durante o período expulsivo, imediatamente antes, \ndurante e após a contração uterina (grau de recomendação D).\n• Controle do desprendimento da cabeça: realize a manobra de Ritgen, com o objetivo de \nevitar a deflexão súbita da cabeça (grau de recomendação D).\n• Aspiração da boca e do nariz do feto com pera de borracha. Deve-se verificar se há \ncircular cervical de cordão. Se a circular for apertada, clampeie e corte o cordão (grau de \nrecomendação D).']","A ausculta dos batimentos cardíacos fetais (BCF) deve ser realizada com sonar após 12 semanas de gestação, ou com Pinard, após 20 semanas.  É importante constatar a presença, o ritmo, a frequência e a normalidade dos BCF a cada consulta. Durante o período expulsivo, a ausculta deve ser feita a cada 5 minutos, imediatamente antes, durante e após a contração uterina.  
","Constatar a cada consulta a presença, o ritmo, a frequência e a normalidade dos batimentos cardíacos fetais (BCF).",0.9999999999,0.888557945613024,1.0,,0.8662542666022145,0.0,
Qual é a conduta recomendada para gestantes com hemoglobina < 8g/dl?,"['• Eletroforese de hemoglobina (se a gestante for negra, tiver antecedentes familiares de \nanemia falciforme ou apresentar história de anemia crônica).\n5.4.5 Condutas gerais\n• Deve haver a interpretação dos dados da anamnese, o exame clínico/obstétrico e a instituição \nde condutas específicas;\n• Deve-se orientar a gestante sobre a alimentação e o acompanhamento do ganho de \npeso gestacional;\n• Deve-se incentivar o aleitamento materno exclusivo até os seis meses;\n• Deve-se fornecer todas as informações necessárias e respostas às indagações da mulher, de \nseu companheiro e da família;\n• Deve-se prescrever suplementação de sulfato ferroso (40mg de ferro elementar/dia) e ácidoSaúde Bucal e Diabetes \nMellitus: recomendações \npara o trabalho das \nequipes da Atenção Básica \ne orientações clínicas para \no cirurgião-dentista\n8O incentivo, a orientação e a promoção da alimentação saudável, da atividade física e das \npráticas corporais no âmbito da atenção básica da saúde da gestante devem ser ações constantes \ndo profissional de saúde, a fim de tornar o dia a dia  da gestante mais ativo. \nÉ importante lembrar à gestante que, além de uma alimentação saudável e da prática corporal/\natividade física regular, ela deve evitar o fumo e o consumo de álcool, pois são hábitos prejudiciais \npara a sua saúde e o crescimento do feto e que aumentam o risco de nascimento prematuro. \n5.8 Controle da pressão arterial (PA)\nOs guidelines recomendam a medida da PA em todas as consultas de pré-natal (grau de \nrecomendação C).']","A conduta recomendada para gestantes com hemoglobina < 8g/dl não está explicitamente mencionada no texto fornecido. O texto menciona a eletroforese de hemoglobina como um exame a ser realizado em casos específicos, mas não detalha as ações a serem tomadas caso o resultado seja baixo.  
",Será necessário referir a gestante ao pré-natal de alto risco.,0.0,,0.0,1.0,0.8230661388321608,0.0,
Quais são os principais componentes de tabaco fumado?,"['redução da massa muscular causada, entre outros fatores, pela diminuição nos níveis de \ntestosterona. Perdem força a ponto de limitar as capacidades de realizar atividades de vida \ndiárias e de manter a postura corporal.\nAdaptações: \nA força é influenciada, principalmente, por dois componentes, um neural e outro mor-\nfológico. O componente neural depende da ativação neural de um conjunto de fibras mus-\nculares de forma coordenada. O segundo componente depende da secção transversal do \nmúsculo, ou seja, da quantidade de massa muscular que o usuário possui e que está envol-\nvida no movimento.Figura 5 – Os seis componentes do método clínico centrado na pessoa ............................................. 59\nFigura 6 – Substâncias químicas componentes do cigarro .................................................................... 8560 delas são cancerígenas. Esses efeitos estão diretamente relacionados à duração e ao grau \nde exposição à fumaça do cigarro, apesar de pequenas quantidades ainda se relacionarem a \ndiversas doenças, não existindo níveis seguros estabelecidos de consumo (ACHUTTI; ROSITO; \nACHUTTI,2004, WORLD HEALTH ORGANIZATION, 2009a).\nFigura 6 – Substâncias químicas componentes do cigarro\nFonte: ALIANÇA DE CONTROLE DE TABAGISMO, 2011.']","O texto fornecido descreve as substâncias químicas presentes no cigarro e seus efeitos nocivos à saúde, mas não lista especificamente os principais componentes do tabaco fumado.  


","Define-se como tabaco fumado o tabaco consumido a partir da sua queima (gerando 'fumaça'). O principal representante deste grupo é o cigarro industrializado, que conta ainda com os cachimbos, charutos, cigarros de palha e narguilé.",0.0,,0.0,0.5,0.8197696895432206,0.0,
Como a dependência de tabaco é classificada na CID-10?,"['Transtorno por Uso de Tabaco foi satisfeito para essa classe de medicamento (exceto tolerância \nou abstinência do medicamento de reposição de nicotina).\nEm ambiente protegido: Este especifi cador adicional é usado se o indivíduo encontra-se em \num ambiente no qual o acesso ao tabaco é restrito.\nCódigo baseado na gravidade atual: Nota para códigos da CID-10-MC: Se também houver \nAbstinência de Tabaco ou outro Transtorno do Sono Induzido por Tabaco, não usar códigos a \nseguir para Transtorno por Uso de Tabaco. No caso, o Transtorno por Uso de Tabaco comórbido \né indicado pelo quarto caractere do código de Transtorno Induzido por Tabaco (ver a nota paraexplicados por outro transtorno mental, incluindo Intoxicação por ou Abstinência de \noutra substância.\nNotas para codificação: O código da CID-9-MC é 292.0. O código da CID-10-MC para \nabstinência de tabaco é F17.203. Observar que o código da CID-10-MC indica a presença \ncomórbida de um Transtorno por Uso de Tabaco moderado ou grave, refletindo o fato de \nque a Abstinência de Tabaco pode ocorrer apenas na presença de um Transtorno por Uso do \nTabaco moderado ou grave. Não é permitido codificar por Uso de Tabaco Leve comórbido com \nAbstinência de tabaco.\nFonte: APA, 2014.44\nMinistério da Saúde | Secretaria de Atenção à Saúde | \nDepartamento de Atenção Básica\nA forma de classificação e os critérios utilizados para os Transtornos Mentais e Comportamentais \nRelacionados ao Fumo na CID-10 (F17) seguem a mesma padronização usada para os transtornos \nrelacionados às demais substâncias psicoativas/de dependência (F1x), às quais se incluem álcool, \nopiácios, cannabis e cocaína, por exemplo. Algumas categorias são individualizadas, como “uso \nnocivo” (F17.1), “síndrome de dependência” (F17.2) e “síndrome (ou estado) de abstinência” \n(F17.3), o que pode conceitualmente gerar confusão aos profissionais de saúde (WORLD HEALTH \nORGANIZATION, 1993; 2004).']","A dependência de tabaco na CID-10 é classificada como ""Síndrome de Dependência"" (F17.2).  É importante notar que essa classificação reflete a presença de um Transtorno por Uso de Tabaco moderado ou grave, pois a Abstinência de Tabaco só pode ocorrer na presença de um Transtorno por Uso do Tabaco moderado ou grave. 
","A CID-10 apresenta os transtornos relacionados ao fumo dentro do Capítulo V (F00-F99) – Transtornos Mentais e Comportamentais, sendo classifi cados conforme exposto no Quadro 3.",0.9999999999,0.9371509250865487,1.0,1.0,0.905116743161004,0.0,
O que se entende por longitudinalidade na Atenção Básica?,"['questionemos os conhecimentos que temos, as técnicas que utilizamos, as atitudes e intervenções \nque realizamos em combinação com usuários e colegas. E se aprofundamos tais questionamentos, \nacabamos por refletir acerca do que iremos perguntar quando estivermos frente a frente com \naquele usuário. Este exercício de reflexão deve ser feito tendo no horizonte que nem sempre \nhaverá como definir perguntas ou afirmações corretas.\nJá mencionamos neste capítulo que o trabalho na Atenção Básica é longitudinal, ou seja, \nque o cuidado à saúde das pessoas deve acontecer ao longo do tempo, independentemente \ndo usuário estar com alguma doença. Portanto, trata-se de um acompanhamento processual. Ada equidade e da participação social. A Atenção Básica considera o sujeito em sua singularidade \ne inserção sociocultural, buscando produzir a atenção integral.\nNa construção da atenção integral, a Atenção Básica deve cumprir algumas funções para \ncontribuir com o funcionamento das Redes de Atenção à Saúde, são elas: ser base, atuando no \nmais elevado grau de descentralização e capilaridade, cuja participação no cuidado se faz sempre \nnecessária; ser resolutiva, identificando riscos, necessidades e demandas de Saúde e produzindo \nintervenções clínicas e sanitariamente efetivas, na perspectiva de ampliação dos graus deLongitudinalidade .............................................................................................................................. 16\nCoordenação do Cuidado .................................................................................................................. 16\nApresentação .......................................................................................................................................... 19\n1 Introdução ............................................................................................................................................ 21']","A longitudinalidade na Atenção Básica refere-se ao cuidado à saúde das pessoas ao longo do tempo, independentemente de estarem ou não com alguma doença.  É um acompanhamento processual que visa a integralidade do paciente, considerando sua singularidade e inserção sociocultural. 


Em outras palavras, a atenção básica busca construir uma relação de cuidado contínua com o usuário, acompanhando suas necessidades e evoluções ao longo da vida, promovendo saúde e bem-estar em todas as etapas.
","A Longitudinalidade é definida pela existência de uma fonte continuada de atenção, assim como sua utilização ao longo do tempo.",0.9999999999,0.9532226098873888,1.0,1.0,0.8543659820942954,0.3333333322222222,
Qual é o impacto social e econômico do tabagismo no Brasil?,"['o estabelecimento de hipóteses diagnósticas na população em questão. \nOs estudos epidemiológicos também demonstram haver impactos negativos, advindos de \nproblemas não tratados ou cuidados, na sociabilidade e na escolaridade, que tendem a persistircom os cachimbos, charutos, cigarros de palha e narguilé. A fumaça exalada pelo produto afeta \nnão somente o usuário, defi nido como tabagismo ativo, mas também as pessoas que estão ao \nseu redor e expostas à poluição tabagística ambiental em locais fechados ou cobertos, defi nida \ncomo tabagismo passivo.\n211.2.3 Epidemiologia no Brasil ....................................................................................................... 24\n1.3 Benefícios da interrupção do tabagismo ................................................................................... 29\n2 Controle do tabaco no Brasil ............................................................................................................... 31\n2.1 Prevenção do tabagismo ............................................................................................................. 31\n2.2 Evolução da legislação para controle do tabaco no Brasil ........................................................ 32']","O texto destaca os impactos negativos do tabagismo na sociabilidade e escolaridade, que persistem mesmo após a interrupção do consumo.  A fumaça afeta não apenas quem fuma (tabagismo ativo), mas também pessoas ao redor expostas à poluição ambiental (tabagismo passivo). 

Embora o texto não forneça dados econômicos específicos sobre o impacto do tabagismo no Brasil, podemos inferir que problemas de saúde relacionados ao tabagismo geram custos para o sistema de saúde e a economia em geral. Além disso, a perda de produtividade devido à doença e morte prematura também representa um custo econômico significativo. 


","O tabaco ainda gera um alto custo social e econômico para o País, somando custos diretos de assistência e indiretos por redução da produtividade com absenteísmo, aposentadoria por invalidez e morte prematura.",0.0,,0.0,0.6666666666666666,0.8431592596309596,0.0,
