question,answer,contexts,ground_truth,context_precision,answer_relevancy,context_recall,faithfulness,answer_similarity,context_entity_recall,answer_correctness
O que é a FAU?,"Desculpe, mas eu não sei te responder. A FAU não está mencionada no contexto fornecido e não faz parte das abreviaturas ou departamentos relacionados à Universidade de Brasília apresentadas.","['CEPE — Conselho de Ensino, Pesquisa e\nExtensão\nDEG — Decanato de Ensino de Graduação\nDEX — Decanato de Extensão\nDPG -— Decanato de Pós-Graduação\nEAD — ensino a distância\nIFE — intituição federal de ensino superior\nIRA- Índice de Rendimento Acadêmico\nMOODLE — software livre de apoio à aprendizagem em ambiente virtual\nPPC — projeto pedagógico do curso\nSAA — Secretaria de Administração Acadêmica\nSEI — Sistema Eletrônico de Informação\nSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificadoSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificado\nTR — trancamento parcial de matrícula ou trancamento automático de disciplina\nUAB — Universidade Aberta do Brasil\nUnB — Universidade de BrasíliaUniversidade de Brasília (UnB) – Decanato de Ensino de Graduação (DEG) \nDiretoria de Acompanhamento e Integração Acadêmica (DAIA) – Coordenação de Estágios (CESG) \n8 \n \n \n2) Ao entrar no portal, selecionar as opções: Estágios → Pré-Cadastro de Estágios, como \nilustrado nas figuras abaixo.']",A Faculdade de Arquitetura e Urbanismo (FAU) é uma unidade acadêmica da Universidade de Brasília (UnB) responsável pelos cursos de graduação e atividades de pesquisa e extensão relacionadas às áreas de Arquitetura e Urbanismo.,0.0,,,0.5,0.8960519771682128,0.0,
O que é o IL?,"Desculpe, mas eu não sei te responder. A abreviatura IL não foi mencionada no contexto fornecido e não está relacionada diretamente às informações sobre a Universidade de Brasília apresentadas.","['Prof. Dr. Diêgo Madureira de Oliveira \nDecano de Ensino de Graduação \nProf. Dr. Rafael Oliveira Rocha \nDiretor de Acompanhamento e Integração Acadêmica \nProfa. Dra. Thaís Alves da Costa Lamounier \nCoordenadora de Estágios de GraduaçãoProf. Dr. Diêgo Madureira de Oliveira \nDecano de Ensino de Graduação \nProf. Dr. Rafael Oliveira Rocha \nDiretor de Acompanhamento e Integração Acadêmica \nProfa. Dra. Thaís Alves da Costa Lamounier \nCoordenadora de Estágios de GraduaçãoUniversidade de Brasília (UnB) – Decanato de Ensino de Graduação (DEG) \nDiretoria de Acompanhamento e Integração Acadêmica (DAIA) – Coordenação de Estágios (CESG) \n8 \n \n \n2) Ao entrar no portal, selecionar as opções: Estágios → Pré-Cadastro de Estágios, como \nilustrado nas figuras abaixo.']","O Instituto de Letras (IL) é uma unidade acadêmica dedicada ao ensino, pesquisa e extensão nas áreas de Línguas, Literaturas e Linguística. Oferece cursos de graduação e pós-graduação.",0.0,0.0,0.0,0.0,0.8972677691550163,0.0,0.22431694228875407
O que é o IdA?,"Desculpe, mas eu não sei te responder. A abreviação ""IdA"" não foi mencionada no contexto fornecido e não está relacionada aos termos específicos do Decanato de Ensino de Graduação da Universidade de Brasília.","['CEPE — Conselho de Ensino, Pesquisa e\nExtensão\nDEG — Decanato de Ensino de Graduação\nDEX — Decanato de Extensão\nDPG -— Decanato de Pós-Graduação\nEAD — ensino a distância\nIFE — intituição federal de ensino superior\nIRA- Índice de Rendimento Acadêmico\nMOODLE — software livre de apoio à aprendizagem em ambiente virtual\nPPC — projeto pedagógico do curso\nSAA — Secretaria de Administração Acadêmica\nSEI — Sistema Eletrônico de Informação\nSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificadoturma, o(a) estudante deverá estar\ndevidamente matriculado(a). A even-\ntual participação das atividades em\nturmas nas quais você não esteja ma-\ntriculado(a) não dá direito à matrícula\nretroativa ou registro de aprovação no\nhistórico.\nÍndice de Rendimento\nAcadêmico (IRA)\nSe você ainda não ouviu falar do IRA,\ndeve ouvir em breve! O IRA é, como\nsugere o nome, um índice que mede\nseu desempenho global no curso, con-\nsiderando todos os componentes já\ncursados. A fórmula do IRA basicamen-\nte considera suas menções, atribuindo\npesos diferentes aos componentes\nobrigatórios, optativos e eletivos (mó-\ndulo livre), para gerar um valor numé-\nrico que vai de O a 5. O IRA é utiliza-Universidade de Brasília (UnB) – Decanato de Ensino de Graduação (DEG) \nDiretoria de Acompanhamento e Integração Acadêmica (DAIA) – Coordenação de Estágios (CESG) \n8 \n \n \n2) Ao entrar no portal, selecionar as opções: Estágios → Pré-Cadastro de Estágios, como \nilustrado nas figuras abaixo.']","O Instituto de Artes (IdA) é uma unidade acadêmica da UnB que atua no ensino e pesquisa relacionados às artes visuais, cênicas, música e outras expressões artísticas.",,0.0,,0.5,0.9009168446468832,0.0,
O que são unidades acadêmicas?,"Unidades acadêmicas na Universidade de Brasília correspondem a estruturas administrativas e acadêmicas que compõem o corpo principal da instituição. Estas unidades incluem faculdades, departamentos e institutos, cada um com suas próprias características e responsabilidades.

No âmbito das unidades acadêmicas, as decisões sobre currículos, programas de graduação e pós-graduação, bem como a implementação de políticas educacionais específicas, são tomadas. Cada uma dessas unidades tem seu próprio colegiado responsável por questões administrativas e pedagógicas.

Por exemplo, o Decanato de Ensino de Graduação (DEG) é uma unidade acadêmica que se ocupa especificamente com a graduação, enquanto o Decanato de Pós-Graduação (DPG) cuida das atividades relacionadas ao mestrado e doutorado. O Conselho de Ensino, Pesquisa e Extensão (CEPE), por sua vez, é um órgão colegiado que atua em nível superior, envolvendo todas as unidades acadêmicas.

É importante notar que essas unidades são responsáveis pela elaboração e implementação das normas internas do curso, bem como pelo acompanhamento dos estudantes durante todo o processo educacional.","['CEPE — Conselho de Ensino, Pesquisa e\nExtensão\nDEG — Decanato de Ensino de Graduação\nDEX — Decanato de Extensão\nDPG -— Decanato de Pós-Graduação\nEAD — ensino a distância\nIFE — intituição federal de ensino superior\nIRA- Índice de Rendimento Acadêmico\nMOODLE — software livre de apoio à aprendizagem em ambiente virtual\nPPC — projeto pedagógico do curso\nSAA — Secretaria de Administração Acadêmica\nSEI — Sistema Eletrônico de Informação\nSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificadoSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificado\nTR — trancamento parcial de matrícula ou trancamento automático de disciplina\nUAB — Universidade Aberta do Brasil\nUnB — Universidade de Brasíliaé muito importante que você os conheça muito bem. As\nnormas são formuladas por órgãos colegiados, como\no colegiado do curso, no âmbito do próprio curso, e os\nconselhos, no âmbito de cada unidade acadêmica (fa-\nculdade, instituto etc.). No âmbito de toda a Universi-\ndade, os colegiados responsáveis pela elaboração das\nnormas são a Câmara de Ensino de Graduação (CEG)\ne o Conselho de Ensino, Pesquisa e Extensão (CEPE).\nÉ muito importante estar atento(a) às atualizações das\nnormas (pois elas ocorrem com alguma frequência) e\nparticipar das discussões no âmbito desses órgãos (em\ntodos há representação estudantil).\nRevisão de menção\nCaso discorde da menção que recebeu, você deverá']","As unidades acadêmicas são institutos e faculdades que coordenam e avaliam atividades de ensino, pesquisa e extensão nas respectivas áreas de conhecimento. Elas têm autonomia para planejar e administrar recursos humanos e materiais.",,,,,0.8843097333780863,0.0,
O que é um coordenador de curso?,"O(a) coordenador(a) de curso é o professor responsável por gerenciar as demandas relacionadas à graduação, incluindo assuntos como matrícula e orientações específicas sobre a graduação. Este profissional desempenha um papel crucial na supervisão do processo educacional, garantindo que os estudantes cumpram os requisitos necessários para conclusão do curso.

Em situações onde o aluno está em risco de reprovação ou está próximo do limite de permanência no curso, o(a) coordenador(a) pode estabelecer condições específicas a serem atendidas. Por exemplo, pode ser exigido que o aluno obtenha aprovação em determinadas disciplinas para sair desse risco.

Além disso, o(a) coordenador(a) também é responsável por definir as regras relacionadas ao número máximo de créditos que podem ser cursados em cada semestre e identificar quais componentes são obrigatórios ou optativos. Os componentes curriculares do curso podem ser classificados em três tipos principais:

1. **Obrigatório** — quando o aluno precisa cursar o componente para se formar.
2. **Optativo** — quando o aluno pode escolher um componente de uma lista prevista na estrutura curricular.
3. **Eletivo (módulo livre)** — quando o componente faz parte do currículo de outro curso, mas ainda assim pode ser cursado e aproveitado no histórico do aluno, com alguns limites.

O(a) coordenador(a) trabalha para garantir que os alunos entendam essas regras e cumpram as exigências do curso em tempo hábil.","['do curso no tempo previsto, mas também porque essa\nadesão ao fluxo é um dos critérios de prioridade para\nconseguir vagas em turmas durante o processo de ma-\ntrícula, como será abordado adiante.\nCoordenação de curso\nO(A) coordenador(a) do curso é o(a) professor(a) respon-\nsável por gerenciar as demandas de graduação, como\nassuntos de matrícula e orientações específicas sobregatória, pois a terceira reprovação implicará no desliga-\nmento. Nesse caso, você tem uma “condição” a cumprir\npara sair do risco, que é cursar a disciplina com aprova-\nção. O mesmo ocorre se você chegar perto do limite de\npermanência no curso e ainda tiver muitos componentes\ncurriculares a cumprir, situação em que você estará em\nrisco e precisará cumprir a condição de concluir o curso\nem determinado semestre. Porém, a depender da situa-\nção, é possível ter uma dessas condições convertida em\noutra. Por exemplo, pode ser exigido que você obtenha\naprovação em disciplinas que somem o mínimo de cré-\nditos por semestre definido para o curso, em cada ummáxima que se pode cursar em cada semestre e quais\ncomponentes são obrigatórios ou eletivos, por exemplo.\nEsse, aliás, é um ponto importante! Os componentes\npodem ser, basicamente, de três tipos:\nobrigatório — quando você precisa cursar o com-\nponente para se formar;\noptativo — quando você pode escolher um com-\nponente de uma lista (prevista na estrutura\ncurricular); e\neletivo (módulo livre) — quando o componente faz\nparte do currículo de outro curso que não o seu,\nmas ainda assim você pode cursar e aproveitar no\nseu histórico (com alguns limites, como ficará claro\nmais à frente).\nFluxo do curso\nO fluxo de um curso consiste da lista de componentes']","O coordenador de curso é o responsável por orientar e apoiar os estudantes durante a graduação, além de gerenciar as demandas acadêmicas, como currículo e componentes curriculares.",0.9999999999,,1.0,,0.897206067206929,0.12499999984374999,
O que é a SAA?,"A SAA, sigla para Secretaria de Administração Acadêmica da Universidade de Brasília, é uma unidade administrativa responsável por diversos aspectos relacionados à administração acadêmica dos estudantes. Ela atua em várias áreas importantes, como a matrícula, registro acadêmico, avaliação e acompanhamento do desempenho dos alunos.

A SAA é fundamental para o processo de matrícula e registro acadêmico, pois é através dela que os estudantes podem verificar se estão regularizados e se suas informações pessoais e acadêmicas estão corretas. Além disso, a secretaria também auxilia na resolução de pendências documentais e no acompanhamento das grades curriculares dos alunos.

Para entrar em contato com a SAA, você pode enviar um e-mail para saaatendimento@unb.br ou visitar o site da universidade onde encontrará informações mais detalhadas sobre os serviços oferecidos.","['E-mail NÃO chegou após o prazo indicado? \nEntrar em contato com a Secretaria de \nAdministração Acadêmica da UnB (SAA). \nsaaatendimento@unb.br  \nVerificar se seu nome consta no edital da \nrelação provisória. Tudo certinho: basta \nguardar o edital com a homologação \ndefinitiva do Registro Acadêmico. \nSeu nome NÃO está na lista do edital da relação \nprovisória? Consultar pendência(s) e enviar os \nitens solicitados, por meio de link específico para \no upload da documentação faltante, na página \nda seleção, conforme prazo estipulado na \nAgenda do Calouro.e qual a melhor estratégia para conseguir a sua vaga.\nDepois da matrícula\nÉ importante checar, ao final do processo (e também\ndurante o semestre) se houve alguma alteração indevi-\nda na sua grade de componentes (você faz isso no por-\ntal do(a) estudante do SIGAA). Isso evita que você seja\nreprovado(a) por faltas em turmas nas quais venha a\nser indevidamente matriculado(a), ou frequente turmas\ndas quais não faz parte formalmente.\nAvaliação\nA avaliação da aprendizagem é um processo funda-\nmental para garantir a qualidade da sua formação aca-\ndêmica e profissional. As atividades avaliativas podem\nvariar conforme o componente curricular e a metodo-Wwuw.saa.unb.br\ne-mail: saaatendimentoDunb.br\nSecretaria de Assuntos\nInternacionais (INT)\nWww.int.unb.br\nInsta ODintunboficial\nCada curso de graduação tem suas característi-\ncas próprias, por isso é importante tentar conhecer\nao máximo o seu! Você pode fazer isso buscando\ninformações no site do curso, mas também con-\nversando com colegas de outros semestres, com\nos(as) professores(as) e com o(a) coordenador(a),\nalém de procurar o centro acadêmico (CA), que\ncompõe a representação estudantil formal do seu\ncurso. Fique atento(a) aos próximos itens, pois\nabordaremos alguns pontos muito importantes\npara você acompanhar o curso e entender melhor\nas informações disponíveis nos meios oficiais.']","A Secretaria de Administração Acadêmica (SAA) é o setor responsável pelo registro acadêmico, emissão de documentos como diplomas, históricos escolares e organização do calendário acadêmico.",0.9999999999,0.885160017271493,,,0.8995320785038373,0.0,
Quais são as categorias de matérias?,"Desculpe, mas eu não sei te responder. As categorias de matérias específicas do currículo do curso não foram mencionadas no contexto fornecido. O texto fala sobre condições para permanência e revisão de menção, mas não lista as categorias de disciplinas.","['gatória, pois a terceira reprovação implicará no desliga-\nmento. Nesse caso, você tem uma “condição” a cumprir\npara sair do risco, que é cursar a disciplina com aprova-\nção. O mesmo ocorre se você chegar perto do limite de\npermanência no curso e ainda tiver muitos componentes\ncurriculares a cumprir, situação em que você estará em\nrisco e precisará cumprir a condição de concluir o curso\nem determinado semestre. Porém, a depender da situa-\nção, é possível ter uma dessas condições convertida em\noutra. Por exemplo, pode ser exigido que você obtenha\naprovação em disciplinas que somem o mínimo de cré-\nditos por semestre definido para o curso, em cada umé muito importante que você os conheça muito bem. As\nnormas são formuladas por órgãos colegiados, como\no colegiado do curso, no âmbito do próprio curso, e os\nconselhos, no âmbito de cada unidade acadêmica (fa-\nculdade, instituto etc.). No âmbito de toda a Universi-\ndade, os colegiados responsáveis pela elaboração das\nnormas são a Câmara de Ensino de Graduação (CEG)\ne o Conselho de Ensino, Pesquisa e Extensão (CEPE).\nÉ muito importante estar atento(a) às atualizações das\nnormas (pois elas ocorrem com alguma frequência) e\nparticipar das discussões no âmbito desses órgãos (em\ntodos há representação estudantil).\nRevisão de menção\nCaso discorde da menção que recebeu, você deveráCEPE — Conselho de Ensino, Pesquisa e\nExtensão\nDEG — Decanato de Ensino de Graduação\nDEX — Decanato de Extensão\nDPG -— Decanato de Pós-Graduação\nEAD — ensino a distância\nIFE — intituição federal de ensino superior\nIRA- Índice de Rendimento Acadêmico\nMOODLE — software livre de apoio à aprendizagem em ambiente virtual\nPPC — projeto pedagógico do curso\nSAA — Secretaria de Administração Acadêmica\nSEI — Sistema Eletrônico de Informação\nSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificado']","As matérias são divididas em disciplinas obrigatórias, optativas e de módulo livre.",,0.0,,1.0,0.8592323209114683,0.0,0.21480808022786707
O que são disciplinas obrigatórias?,"Disciplinas obrigatórias são aquelas que fazem parte do currículo do curso e devem ser cursadas e aprovadas pelos alunos. Em alguns casos, essas disciplinas podem ser escolhidas de um grupo pré-determinado, formando uma cadeia de seletividade, onde o aluno tem que cumprir um número específico de créditos entre as opções disponíveis.

No entanto, é importante notar que não é possível ""quebrar"" os pré-requisitos para um(a) estudante em particular. Se um pré-requisito é estabelecido para uma disciplina obrigatória, todos(as) os(as) alunos(as) devem atendê-lo.

Caso o aluno não cumpra as condições necessárias, como aprovar a disciplina ou completar o número mínimo de créditos por semestre, pode haver a revisão do pré-requisito pelo colegiado do curso. Essa revisão passará a valer para todos(as) os(as) estudantes e pode alterar as condições iniciais estabelecidas.

Em situações como terceira reprovação ou risco de desligamento, o aluno pode precisar cumprir uma condição específica para evitar o desligamento do curso.","['uma característica do próprio componente, não sendo\npossível “quebrar” o pré-requisito para um(a) estudante\nem particular, o que pode haver é a revisão do(s) pré-\n-requisito(s) pelo colegiado do curso, o que passará a\nvaler para todos(as) os(as) estudantes.\nCadeia de seletividade\nEm alguns cursos, as disciplinas obrigatórias podem ser\nescolhidas de um grupo pré-determinado: a cadeia de\nseletividade. As disciplinas que compõem uma cadeia\nde seletividade são denominadas disciplinas obrigató-\nrias seletivas. À cadeia soma-se uma condição de cum-\nprimento que é o número de horas a serem cursadas\ndentre os componentes que compõem a cadeia. Caso\nseu curso tenha uma cadeia de seletividade, você po-Manual de Orientações no Módulo de Estágio \ndo Sistema Integrado de Gerenciamento de \nAtividades Acadêmicas (SIGAA)  \n \n Estágio Curricular Obrigatório \n– Discentes – \n \n \n \n \n \n \n \n \nBrasília, 19 de agosto de 2022gatória, pois a terceira reprovação implicará no desliga-\nmento. Nesse caso, você tem uma “condição” a cumprir\npara sair do risco, que é cursar a disciplina com aprova-\nção. O mesmo ocorre se você chegar perto do limite de\npermanência no curso e ainda tiver muitos componentes\ncurriculares a cumprir, situação em que você estará em\nrisco e precisará cumprir a condição de concluir o curso\nem determinado semestre. Porém, a depender da situa-\nção, é possível ter uma dessas condições convertida em\noutra. Por exemplo, pode ser exigido que você obtenha\naprovação em disciplinas que somem o mínimo de cré-\nditos por semestre definido para o curso, em cada um']","As disciplinas obrigatórias são componentes essenciais ao currículo do curso, que todos os estudantes devem cursar e ser aprovados.",0.9999999999,0.896091727154749,1.0,0.8571428571428571,0.8961459800807019,0.0,
O que são disciplinas optativas?,"Desculpe, mas eu não sei te responder. A descrição fornecida se refere a cadeias de seletividade e componentes eletivos, mas não menciona diretamente o conceito de disciplinas optativas. As informações disponíveis não abordam esse termo específico.","['uma característica do próprio componente, não sendo\npossível “quebrar” o pré-requisito para um(a) estudante\nem particular, o que pode haver é a revisão do(s) pré-\n-requisito(s) pelo colegiado do curso, o que passará a\nvaler para todos(as) os(as) estudantes.\nCadeia de seletividade\nEm alguns cursos, as disciplinas obrigatórias podem ser\nescolhidas de um grupo pré-determinado: a cadeia de\nseletividade. As disciplinas que compõem uma cadeia\nde seletividade são denominadas disciplinas obrigató-\nrias seletivas. À cadeia soma-se uma condição de cum-\nprimento que é o número de horas a serem cursadas\ndentre os componentes que compõem a cadeia. Caso\nseu curso tenha uma cadeia de seletividade, você po-primento que é o número de horas a serem cursadas\ndentre os componentes que compõem a cadeia. Caso\nseu curso tenha uma cadeia de seletividade, você po-\nderá selecionar livremente entre os componentes dessa\ncadeia qual componente você cursará. Funciona de for-\nma semelhante aos componentes optativos, mas aqui\na lista de possibilidades é bem mais restrita e abrange\ncomponentes tematicamente relacionados. Além disso,\na integralização se dá como carga horária optativa no\nhistórico.\nIMPORTANTE: Apesar de os componentes que compõem\numa cadeia de seletividade serem integralizados como opta-\ntivos, o não cumprimento da condição em horas relacionadastegram o currículo do seu curso, mas\ncomo parte de um grupo de componen-\ntes que são ofertados (pelo departa-\nmento/unidade do seu curso ou mesmo\npor outros cursos) e que podem ser es-\ncolhidos para compor o total de horas\nnecessárias para a integralização do\ncurrículo. Ou seja, o que é obrigatório\naqui é o cumprimento da carga horária.\nComponentes eletivos\n(módulo livre)\nA principal diferença entre um componente optativo e\num eletivo (módulo livre) é, basicamente, que esse últi-\nmo não está listado na estrutura curricular (currículo do\ncurso). Ou seja, os componentes eletivos de um curso\nsão todos os componentes de graduação ofertados por\noutros cursos da UnB e que não constam no currículo']",As disciplinas optativas são matérias sugeridas dentro do currículo do curso. O estudante pode escolher entre elas para complementar a carga horária obrigatória.,0.0,0.8591563889398887,,0.5,0.8999100229236161,0.249999999375,0.22497750573090403
O que são disciplinas de módulo livre?,"Componentes eletivos (módulo livre) são disciplinas que não estão listadas na estrutura curricular oficial do seu curso. Essas disciplinas podem ser escolhidas entre uma variedade de ofertadas por outros cursos da Universidade de Brasília (UnB), permitindo maior flexibilidade no planejamento acadêmico dos estudantes.

Esses componentes são considerados parte do currículo, mas não fazem parte da grade curricular obrigatória definida pelo projeto pedagógico do curso. A escolha dessas disciplinas deve ser feita de acordo com o interesse do aluno e pode contribuir para a formação transdisciplinar ou complementar conhecimentos em áreas relacionadas ao seu campo de estudo.

É importante notar que, embora sejam optativos, esses componentes devem cumprir requisitos específicos definidos pela instituição, como o total mínimo de créditos por semestre.","['CEPE — Conselho de Ensino, Pesquisa e\nExtensão\nDEG — Decanato de Ensino de Graduação\nDEX — Decanato de Extensão\nDPG -— Decanato de Pós-Graduação\nEAD — ensino a distância\nIFE — intituição federal de ensino superior\nIRA- Índice de Rendimento Acadêmico\nMOODLE — software livre de apoio à aprendizagem em ambiente virtual\nPPC — projeto pedagógico do curso\nSAA — Secretaria de Administração Acadêmica\nSEI — Sistema Eletrônico de Informação\nSIGAA -— Sistema de Administração de Atividades Acadêmicas\nTCC — trabalho de conclusão de curso\nTCE — termo de compromisso de estágio\nTJ — trancamento parcial de matrícula excepcional e justificadogatória, pois a terceira reprovação implicará no desliga-\nmento. Nesse caso, você tem uma “condição” a cumprir\npara sair do risco, que é cursar a disciplina com aprova-\nção. O mesmo ocorre se você chegar perto do limite de\npermanência no curso e ainda tiver muitos componentes\ncurriculares a cumprir, situação em que você estará em\nrisco e precisará cumprir a condição de concluir o curso\nem determinado semestre. Porém, a depender da situa-\nção, é possível ter uma dessas condições convertida em\noutra. Por exemplo, pode ser exigido que você obtenha\naprovação em disciplinas que somem o mínimo de cré-\nditos por semestre definido para o curso, em cada umtegram o currículo do seu curso, mas\ncomo parte de um grupo de componen-\ntes que são ofertados (pelo departa-\nmento/unidade do seu curso ou mesmo\npor outros cursos) e que podem ser es-\ncolhidos para compor o total de horas\nnecessárias para a integralização do\ncurrículo. Ou seja, o que é obrigatório\naqui é o cumprimento da carga horária.\nComponentes eletivos\n(módulo livre)\nA principal diferença entre um componente optativo e\num eletivo (módulo livre) é, basicamente, que esse últi-\nmo não está listado na estrutura curricular (currículo do\ncurso). Ou seja, os componentes eletivos de um curso\nsão todos os componentes de graduação ofertados por\noutros cursos da UnB e que não constam no currículo']","As disciplinas de módulo livre são matérias de outros cursos que o estudante pode cursar, mesmo que não estejam listadas no currículo obrigatório ou optativo, desde que respeitem o limite máximo de créditos permitidos.",,0.8947751103703566,,,0.8738529843062597,0.0,0.43274896036227917
